Profile 1 FLIR AX5

,Li1
Emissivity,1
Distance,0
Reflected temperature,22
Start point X,129
Start point Y,245
End point X,128
End point Y,74

Index,Li1
1,4570
2,4687
3,4650
4,4550
5,4513
6,4515
7,4499
8,4482
9,4472
10,4460
11,4459
12,4427
13,4405
14,4384
15,4387
16,4370
17,4375
18,4350
19,4355
20,4351
21,4324
22,4316
23,4302
24,4272
25,4277
26,4277
27,4263
28,4272
29,4270
30,4263
31,4240
32,4231
33,4238
34,4231
35,4221
36,4235
37,4221
38,4211
39,4182
40,4221
41,4187
42,4169
43,4158
44,4124
45,4065
46,3983
47,3675
48,3487
49,3383
50,3295
51,3226
52,3161
53,3099
54,3036
55,2978
56,2925
57,2878
58,2842
59,2795
60,2751
61,2711
62,2674
63,2639
64,2607
65,2572
66,2545
67,2514
68,2480
69,2456
70,2430
71,2397
72,2372
73,2349
74,2329
75,2310
76,2285
77,2259
78,2237
79,2219
80,2188
81,2179
82,2175
83,2056
84,1959
85,1946
86,1941
87,1942
88,1941
89,1935
90,1936
91,1935
92,1929
93,1931
94,1930
95,1932
96,1930
97,1921
98,1925
99,1916
100,1921
101,1922
102,1923
103,1922
104,1922
105,1924
106,1922
107,1920
108,1919
109,1920
110,1918
111,1915
112,1892
113,1857
114,1855
115,1899
116,1918
117,1914
118,1910
119,1910
120,1914
121,1911
122,1913
123,1912
124,1915
125,1910
126,1899
127,1899
128,1915
129,1909
130,1906
131,1907
132,1911
133,1909
134,1912
135,1908
136,1904
137,1901
138,1906
139,1906
140,1901
141,1899
142,1891
143,1887
144,1898
145,1896
146,1895
147,1894
148,1894
149,1893
150,1890
151,1894
152,1892
153,1871
154,1807
155,1770
156,1757
157,1741
158,1725
159,1715
160,1708
161,1693
162,1669
163,1644
164,1636
165,1625
166,1612
167,1607
168,1589
169,1511
170,1442
171,1428
172,1421
173,1415
174,1414
175,1421
176,1417
