Profile 1 FLIR AX5

,Li1,Li2,Li3
Emissivity,1,1,1
Distance,0,0,0
Reflected temperature,22,22,22
Start point X,149,188,225
Start point Y,255,255,254
End point X,149,190,233
End point Y,188,129,3

Index,Li1,Li2,Li3
1,4565,4207,3915
2,3990,4080,3839
3,3868,4088,3754
4,3788,4098,3673
5,3705,4022,3619
6,3657,3952,3548
7,3593,3890,3483
8,3536,3809,3408
9,3460,3757,3367
10,3411,3699,3306
11,3347,3643,3249
12,3294,3575,3196
13,3239,3516,3150
14,3198,3465,3084
15,3143,3409,3043
16,3102,3363,3000
17,3048,3310,2955
18,3006,3281,2911
19,2976,3247,2882
20,2930,3205,2846
21,2892,3170,2822
22,2864,3127,2774
23,2826,3084,2744
24,2790,3052,2725
25,2768,3013,2689
26,2736,2976,2661
27,2706,2942,2626
28,2682,2914,2602
29,2648,2889,2574
30,2627,2851,2547
31,2604,2831,2513
32,2576,2793,2496
33,2554,2770,2478
34,2529,2741,2450
35,2508,2716,2420
36,2493,2688,2399
37,2468,2667,2380
38,2451,2638,2361
39,2428,2617,2334
40,2406,2589,2320
41,2396,2569,2299
42,2371,2549,2275
43,2363,2529,2251
44,2344,2511,2232
45,2330,2483,2223
46,2314,2477,2205
47,2304,2446,2187
48,2284,2426,2167
49,2279,2410,2149
50,2249,2399,2135
51,2258,2371,2122
52,2254,2353,2107
53,2234,2342,2091
54,2222,2325,2082
55,2224,2311,2069
56,2211,2292,2053
57,2206,2271,2041
58,2207,2266,2018
59,2189,2245,2011
60,2186,2227,1999
61,2183,2214,1983
62,2171,2200,1973
63,2162,2182,1960
64,2147,2161,1949
65,2069,2157,1948
66,1936,2147,1933
67,1881,2129,1921
68,1821,2117,1909
69,,2095,1906
70,,2103,1891
71,,2078,1882
72,,2074,1875
73,,2070,1862
74,,2051,1859
75,,1931,1845
76,,1840,1837
77,,1909,1831
78,,1995,1822
79,,2015,1817
80,,2002,1810
81,,1990,1802
82,,1978,1794
83,,1989,1791
84,,1938,1785
85,,1969,1773
86,,1960,1766
87,,1959,1764
88,,1938,1758
89,,1923,1748
90,,1889,1740
91,,1930,1739
92,,1934,1727
93,,1928,1725
94,,1919,1720
95,,1902,1716
96,,1902,1712
97,,1901,1700
98,,1897,1690
99,,1891,1694
100,,1892,1692
101,,1882,1684
102,,1876,1677
103,,1866,1678
104,,1863,1669
105,,1859,1665
106,,1864,1658
107,,1861,1656
108,,1858,1651
109,,1852,1651
110,,1848,1646
111,,1847,1646
112,,1843,1639
113,,1840,1636
114,,1838,1634
115,,1830,1628
116,,1833,1620
117,,1826,1618
118,,1822,1614
119,,1817,1613
120,,1817,1608
121,,1818,1609
122,,1816,1606
123,,1808,1603
124,,1804,1600
125,,1792,1595
126,,1777,1590
127,,1717,1584
128,,,1587
129,,,1582
130,,,1578
131,,,1578
132,,,1575
133,,,1573
134,,,1565
135,,,1569
136,,,1566
137,,,1567
138,,,1560
139,,,1558
140,,,1553
141,,,1553
142,,,1547
143,,,1544
144,,,1544
145,,,1537
146,,,1540
147,,,1532
148,,,1528
149,,,1529
150,,,1528
151,,,1523
152,,,1523
153,,,1521
154,,,1519
155,,,1517
156,,,1513
157,,,1514
158,,,1509
159,,,1507
160,,,1508
161,,,1502
162,,,1500
163,,,1505
164,,,1498
165,,,1498
166,,,1497
167,,,1496
168,,,1493
169,,,1493
170,,,1497
171,,,1494
172,,,1486
173,,,1491
174,,,1489
175,,,1485
176,,,1484
177,,,1484
178,,,1483
179,,,1483
180,,,1480
181,,,1481
182,,,1477
183,,,1480
184,,,1482
185,,,1477
186,,,1478
187,,,1475
188,,,1472
189,,,1471
190,,,1472
191,,,1468
192,,,1467
193,,,1462
194,,,1469
195,,,1467
196,,,1463
197,,,1457
198,,,1460
199,,,1455
200,,,1454
201,,,1459
202,,,1456
203,,,1459
204,,,1455
205,,,1458
206,,,1455
207,,,1453
208,,,1455
209,,,1452
210,,,1451
211,,,1451
212,,,1453
213,,,1447
214,,,1447
215,,,1447
216,,,1444
217,,,1442
218,,,1443
219,,,1441
220,,,1441
221,,,1441
222,,,1438
223,,,1439
224,,,1437
225,,,1436
226,,,1433
227,,,1439
228,,,1438
229,,,1433
230,,,1433
231,,,1431
232,,,1428
233,,,1428
234,,,1432
235,,,1427
236,,,1425
237,,,1426
238,,,1428
239,,,1429
240,,,1423
241,,,1426
242,,,1425
243,,,1426
244,,,1421
245,,,1424
246,,,1419
247,,,1425
248,,,1423
249,,,1417
250,,,1417
251,,,1399
252,,,1327
