No, norm, delta_time
1, 0.0365017, 0.005
2, 0.0362491, 0.005
3, 0.0361297, 0.005
4, 0.0360817, 0.005
5, 0.0360747, 0.005
6, 0.0360932, 0.005
7, 0.0361293, 0.005
8, 0.0361783, 0.005
9, 0.0362374, 0.005
10, 0.0363048, 0.005
11, 0.0363793, 0.005
12, 0.0364599, 0.005
13, 0.0365459, 0.005
14, 0.0366369, 0.005
15, 0.0367325, 0.005
16, 0.0368323, 0.005
17, 0.0369362, 0.005
18, 0.0370438, 0.005
19, 0.0371551, 0.005
20, 0.0372699, 0.005
21, 0.0373882, 0.005
22, 0.0375097, 0.005
23, 0.0376346, 0.005
24, 0.0377626, 0.005
25, 0.0378938, 0.005
26, 0.0380282, 0.005
27, 0.0381657, 0.005
28, 0.0383063, 0.005
29, 0.03845, 0.005
30, 0.0385969, 0.005
31, 0.0387469, 0.005
32, 0.0389, 0.005
33, 0.0390563, 0.005
34, 0.0392158, 0.005
35, 0.0393785, 0.005
36, 0.0395444, 0.005
37, 0.0397137, 0.005
38, 0.0398863, 0.005
39, 0.0400622, 0.005
40, 0.0402416, 0.005
41, 0.0404245, 0.005
42, 0.0406108, 0.005
43, 0.0408008, 0.005
44, 0.0409944, 0.005
45, 0.0411916, 0.005
46, 0.0413926, 0.005
47, 0.0415974, 0.005
48, 0.0418061, 0.005
49, 0.0420186, 0.005
50, 0.0422352, 0.005
51, 0.0424557, 0.005
52, 0.0426803, 0.005
53, 0.0429089, 0.005
54, 0.0431417, 0.005
55, 0.0433786, 0.005
56, 0.0436196, 0.005
57, 0.0438648, 0.005
58, 0.044114, 0.005
59, 0.0443672, 0.005
60, 0.0446244, 0.005
61, 0.0448853, 0.005
62, 0.0451497, 0.005
63, 0.0454174, 0.005
64, 0.045688, 0.005
65, 0.0459611, 0.005
66, 0.0462361, 0.005
67, 0.0465121, 0.005
68, 0.0467884, 0.005
69, 0.0470636, 0.005
70, 0.0473364, 0.005
71, 0.047605, 0.005
72, 0.0478672, 0.005
73, 0.0481202, 0.005
74, 0.0483608, 0.005
75, 0.0485851, 0.005
76, 0.0487885, 0.005
77, 0.0489653, 0.005
78, 0.0491091, 0.005
79, 0.0492125, 0.005
80, 0.049267, 0.005
81, 0.0492633, 0.005
82, 0.0491909, 0.005
83, 0.049039, 0.005
84, 0.0487964, 0.005
85, 0.0484518, 0.005
86, 0.0479944, 0.005
87, 0.0474149, 0.005
88, 0.0467054, 0.005
89, 0.0458605, 0.005
90, 0.0448777, 0.005
91, 0.0437577, 0.005
92, 0.0425047, 0.005
93, 0.0411265, 0.005
94, 0.0396342, 0.005
95, 0.0380417, 0.005
96, 0.0363656, 0.005
97, 0.0346238, 0.005
98, 0.0328355, 0.005
99, 0.03102, 0.005
100, 0.0291961, 0.005
101, 0.0273817, 0.005
102, 0.025593, 0.005
103, 0.0238445, 0.005
104, 0.0221485, 0.005
105, 0.0205152, 0.005
106, 0.0189524, 0.005
107, 0.0174662, 0.005
108, 0.0160604, 0.005
109, 0.0147372, 0.005
110, 0.0134975, 0.005
111, 0.0123407, 0.005
112, 0.0112651, 0.005
113, 0.0102685, 0.005
114, 0.00934765, 0.005
115, 0.00849919, 0.005
116, 0.00771928, 0.005
117, 0.00700391, 0.005
118, 0.00634901, 0.005
119, 0.0057505, 0.005
120, 0.00520438, 0.005
121, 0.00470675, 0.005
122, 0.00425387, 0.005
123, 0.00384218, 0.005
124, 0.00346832, 0.005
125, 0.00312912, 0.005
126, 0.00282163, 0.005
127, 0.00254309, 0.005
128, 0.00229095, 0.005
129, 0.00206287, 0.005
130, 0.00185667, 0.005
131, 0.00167035, 0.005
132, 0.00150209, 0.005
133, 0.00135021, 0.005
134, 0.00121319, 0.005
135, 0.00108963, 0.005
136, 0.00097825, 0.005
137, 0.000877901, 0.005
138, 0.000787526, 0.005
139, 0.000706167, 0.005
140, 0.000632956, 0.005
141, 0.000567104, 0.005
142, 0.000507895, 0.005
143, 0.00045468, 0.005
144, 0.000406872, 0.005
145, 0.00036394, 0.005
146, 0.000325401, 0.005
147, 0.000290821, 0.005
148, 0.000259806, 0.005
149, 0.000231999, 0.005
150, 0.00020708, 0.005
151, 0.000184758, 0.005
152, 0.000164771, 0.005
153, 0.000146882, 0.005
154, 0.000130878, 0.005
155, 0.000116567, 0.005
156, 0.000103775, 0.005
157, 9.23458e-05, 0.005
158, 8.21393e-05, 0.005
159, 7.30284e-05, 0.005
160, 6.48992e-05, 0.005
161, 5.76493e-05, 0.005
162, 5.11865e-05, 0.005
163, 4.54279e-05, 0.005
164, 4.02992e-05, 0.005
165, 3.57336e-05, 0.005
166, 3.16711e-05, 0.005
167, 2.8058e-05, 0.005
168, 2.4846e-05, 0.005
169, 2.19919e-05, 0.005
170, 1.9457e-05, 0.005
171, 1.72067e-05, 0.005
172, 1.52099e-05, 0.005
173, 1.34389e-05, 0.005
174, 1.18689e-05, 0.005
175, 1.04777e-05, 0.005
176, 9.2455e-06, 0.005
177, 8.15467e-06, 0.005
178, 7.18942e-06, 0.005
179, 6.33568e-06, 0.005
180, 5.58091e-06, 0.005
181, 4.91394e-06, 0.005
182, 4.32484e-06, 0.005
183, 3.80474e-06, 0.005
184, 3.34576e-06, 0.005
185, 2.94091e-06, 0.005
186, 2.58397e-06, 0.005
187, 2.2694e-06, 0.005
188, 1.9923e-06, 0.005
189, 1.7483e-06, 0.005
190, 1.53356e-06, 0.005
191, 1.34465e-06, 0.005
192, 1.17853e-06, 0.005
193, 1.03251e-06, 0.005
194, 9.04223e-07, 0.005
195, 7.91557e-07, 0.005
196, 6.92654e-07, 0.005
197, 6.0587e-07, 0.005
198, 5.29751e-07, 0.005
199, 4.63015e-07, 0.005
200, 4.04529e-07, 0.005
201, 3.53294e-07, 0.005
202, 3.08431e-07, 0.005
203, 2.69162e-07, 0.005
204, 2.34804e-07, 0.005
205, 2.04755e-07, 0.005
206, 1.78485e-07, 0.005
207, 1.55528e-07, 0.005
208, 1.35473e-07, 0.005
209, 1.17962e-07, 0.005
210, 1.02676e-07, 0.005
211, 8.93396e-08, 0.005
212, 7.77073e-08, 0.005
213, 6.75655e-08, 0.005
214, 5.87266e-08, 0.005
215, 5.10261e-08, 0.005
216, 4.43198e-08, 0.005
217, 3.84817e-08, 0.005
218, 3.34011e-08, 0.005
