No, norm, delta_time
1, 0.115076, 0.015
2, 0.121425, 0.015
3, 0.128192, 0.015
4, 0.132871, 0.015
5, 0.133882, 0.015
6, 0.134472, 0.015
7, 0.138899, 0.015
8, 0.142049, 0.015
9, 0.144301, 0.015
10, 0.152078, 0.015
11, 0.156959, 0.015
12, 0.158705, 0.015
13, 0.166285, 0.015
14, 0.170017, 0.015
15, 0.177239, 0.015
16, 0.18401, 0.015
17, 0.18701, 0.015
18, 0.196537, 0.015
19, 0.2001, 0.015
20, 0.211246, 0.015
21, 0.215101, 0.015
22, 0.226842, 0.015
23, 0.231952, 0.015
24, 0.245479, 0.015
25, 0.250103, 0.015
26, 0.26818, 0.015
27, 0.267421, 0.015
28, 0.295353, 0.015
29, 0.282755, 0.015
30, 0.311881, 0.015
31, 0.329775, 0.015
32, 0.213227, 0.015
33, 0.0799589, 0.015
34, 0.0342653, 0.015
35, 0.0174501, 0.015
36, 0.00843427, 0.015
37, 0.00399026, 0.015
38, 0.00189969, 0.015
39, 0.000908195, 0.015
40, 0.000433211, 0.015
41, 0.00020564, 0.015
42, 9.72165e-05, 0.015
43, 4.58437e-05, 0.015
44, 2.15824e-05, 0.015
45, 1.01442e-05, 0.015
46, 4.75923e-06, 0.015
47, 2.22841e-06, 0.015
48, 1.04137e-06, 0.015
49, 4.85752e-07, 0.015
50, 2.26183e-07, 0.015
51, 1.05138e-07, 0.015
