No, norm, delta_time
1, 0.0368892, 0.015
2, 0.0374829, 0.015
3, 0.0383467, 0.015
4, 0.0388439, 0.015
5, 0.0386923, 0.015
6, 0.0385421, 0.015
7, 0.0398039, 0.015
8, 0.0414796, 0.015
9, 0.0408818, 0.015
10, 0.0401786, 0.015
11, 0.0415515, 0.015
12, 0.0421082, 0.015
13, 0.0423902, 0.015
14, 0.0443046, 0.015
15, 0.0433785, 0.015
16, 0.0419383, 0.015
17, 0.045072, 0.015
18, 0.0451145, 0.015
19, 0.0441657, 0.015
20, 0.0467379, 0.015
21, 0.045352, 0.015
22, 0.0453524, 0.015
23, 0.0471488, 0.015
24, 0.0462017, 0.015
25, 0.0490652, 0.015
26, 0.0482632, 0.015
27, 0.0470337, 0.015
28, 0.0484264, 0.015
29, 0.0477803, 0.015
30, 0.0527729, 0.015
31, 0.050292, 0.015
32, 0.0479396, 0.015
33, 0.0509301, 0.015
34, 0.0489346, 0.015
35, 0.0556455, 0.015
36, 0.0523126, 0.015
37, 0.0485919, 0.015
38, 0.0532055, 0.015
39, 0.0502371, 0.015
40, 0.0573274, 0.015
41, 0.0528805, 0.015
42, 0.0493732, 0.015
43, 0.0543086, 0.015
44, 0.0507495, 0.015
45, 0.0584522, 0.015
46, 0.0526166, 0.015
47, 0.0502148, 0.015
48, 0.05279, 0.015
49, 0.048054, 0.015
50, 0.0568268, 0.015
51, 0.0502332, 0.015
52, 0.0519573, 0.015
53, 0.0544049, 0.015
54, 0.0456834, 0.015
55, 0.0498726, 0.015
56, 0.0408998, 0.015
57, 0.0437751, 0.015
58, 0.0447749, 0.015
59, 0.0424628, 0.015
60, 0.0503557, 0.015
61, 0.0470058, 0.015
62, 0.0329208, 0.015
63, 0.0216897, 0.015
64, 0.0114469, 0.015
65, 0.0068902, 0.015
66, 0.00360854, 0.015
67, 0.00202158, 0.015
68, 0.00104933, 0.015
69, 0.000562235, 0.015
70, 0.000288261, 0.015
71, 0.000150108, 0.015
72, 7.60563e-05, 0.015
73, 3.88502e-05, 0.015
74, 1.94842e-05, 0.015
75, 9.81655e-06, 0.015
76, 4.88083e-06, 0.015
77, 2.4336e-06, 0.015
78, 1.20116e-06, 0.015
79, 5.93997e-07, 0.015
80, 2.91352e-07, 0.015
81, 1.43114e-07, 0.015
82, 6.98192e-08, 0.015
83, 3.41034e-08, 0.015
