No, norm, delta_time
1, 0.110941, 1
2, 0.0439417, 1
3, 0.0237513, 1
4, 0.0144085, 1
5, 0.00927791, 1
6, 0.00618671, 1
7, 0.0042177, 1
8, 0.00291774, 1
9, 0.00203851, 1
10, 0.00143383, 1
11, 0.00101307, 1
12, 0.000717845, 1
13, 0.000509519, 1
14, 0.000361936, 1
15, 0.000257124, 1
16, 0.000182581, 1
17, 0.000129534, 1
18, 9.17875e-05, 1
19, 6.49439e-05, 1
20, 4.58734e-05, 1
21, 3.23434e-05, 1
22, 2.27598e-05, 1
23, 1.5984e-05, 1
24, 1.1203e-05, 1
25, 7.8366e-06, 1
26, 5.47148e-06, 1
27, 3.81352e-06, 1
28, 2.65386e-06, 1
29, 1.84448e-06, 1
30, 1.28073e-06, 1
31, 8.88819e-07, 1
32, 6.16807e-07, 1
33, 4.28267e-07, 1
34, 2.9771e-07, 1
35, 2.07346e-07, 1
36, 1.44794e-07, 1
37, 1.0146e-07, 1
