No, norm, delta_time
1, 0.120104, 0.5
2, 0.0354964, 0.5
3, 0.019423, 0.5
4, 0.0130932, 0.5
5, 0.011328, 0.5
6, 0.0107015, 0.5
7, 0.0103185, 0.5
8, 0.0099061, 0.5
9, 0.00939625, 0.5
10, 0.00880663, 0.5
11, 0.00815412, 0.5
12, 0.00746674, 0.5
13, 0.00676415, 0.5
14, 0.00606558, 0.5
15, 0.00538486, 0.5
16, 0.00473362, 0.5
17, 0.00412014, 0.5
18, 0.00355062, 0.5
19, 0.00302915, 0.5
20, 0.00255829, 0.5
21, 0.00213933, 0.5
22, 0.00177266, 0.5
23, 0.00145802, 0.5
24, 0.00119476, 0.5
25, 0.000981885, 0.5
26, 0.000817714, 0.5
27, 0.000699048, 0.5
28, 0.000620027, 0.5
29, 0.000571794, 0.5
30, 0.000543949, 0.5
31, 0.000526951, 0.5
32, 0.00051372, 0.5
33, 0.000499851, 0.5
34, 0.000483057, 0.5
35, 0.000462479, 0.5
36, 0.000438127, 0.5
37, 0.0004105, 0.5
38, 0.000380346, 0.5
39, 0.000348507, 0.5
40, 0.000315832, 0.5
41, 0.000283122, 0.5
42, 0.000251107, 0.5
43, 0.000220431, 0.5
44, 0.000191648, 0.5
45, 0.000165234, 0.5
46, 0.000141584, 0.5
47, 0.000121025, 0.5
48, 0.000103796, 0.5
49, 9.00223e-05, 0.5
50, 7.96469e-05, 0.5
51, 7.23638e-05, 0.5
52, 6.76087e-05, 0.5
53, 6.4653e-05, 0.5
54, 6.27619e-05, 0.5
55, 6.13254e-05, 0.5
56, 5.99103e-05, 0.5
57, 5.82512e-05, 0.5
58, 5.62139e-05, 0.5
59, 5.37572e-05, 0.5
60, 5.09007e-05, 0.5
61, 4.77013e-05, 0.5
62, 4.4237e-05, 0.5
63, 4.05956e-05, 0.5
64, 3.68671e-05, 0.5
65, 3.31391e-05, 0.5
66, 2.94936e-05, 0.5
67, 2.60058e-05, 0.5
68, 2.27431e-05, 0.5
69, 1.97652e-05, 0.5
70, 1.71232e-05, 0.5
71, 1.48587e-05, 0.5
72, 1.29993e-05, 0.5
73, 1.15522e-05, 0.5
74, 1.04955e-05, 0.5
75, 9.77484e-06, 0.5
76, 9.31019e-06, 0.5
77, 9.01232e-06, 0.5
78, 8.80006e-06, 0.5
79, 8.61047e-06, 0.5
80, 8.40108e-06, 0.5
81, 8.1472e-06, 0.5
82, 7.83774e-06, 0.5
83, 7.47121e-06, 0.5
84, 7.05247e-06, 0.5
85, 6.59035e-06, 0.5
86, 6.09588e-06, 0.5
87, 5.58112e-06, 0.5
88, 5.05834e-06, 0.5
89, 4.53945e-06, 0.5
90, 4.03568e-06, 0.5
91, 3.55738e-06, 0.5
92, 3.1139e-06, 0.5
93, 2.71356e-06, 0.5
94, 2.3634e-06, 0.5
95, 2.06876e-06, 0.5
96, 1.83247e-06, 0.5
97, 1.65367e-06, 0.5
98, 1.52689e-06, 0.5
99, 1.44235e-06, 0.5
100, 1.38772e-06, 0.5
101, 1.35066e-06, 0.5
102, 1.3208e-06, 0.5
103, 1.29057e-06, 0.5
104, 1.25519e-06, 0.5
105, 1.21211e-06, 0.5
106, 1.16046e-06, 0.5
107, 1.10056e-06, 0.5
108, 1.03349e-06, 0.5
109, 9.60782e-07, 0.5
110, 8.84245e-07, 0.5
111, 8.05789e-07, 0.5
112, 7.27333e-07, 0.5
113, 6.50732e-07, 0.5
114, 5.77736e-07, 0.5
115, 5.09955e-07, 0.5
116, 4.48829e-07, 0.5
117, 3.95568e-07, 0.5
118, 3.51052e-07, 0.5
119, 3.15666e-07, 0.5
120, 2.89135e-07, 0.5
121, 2.7043e-07, 0.5
122, 2.579e-07, 0.5
123, 2.49591e-07, 0.5
124, 2.43623e-07, 0.5
125, 2.38451e-07, 0.5
126, 2.32961e-07, 0.5
127, 2.26453e-07, 0.5
128, 2.18568e-07, 0.5
129, 2.09203e-07, 0.5
130, 1.9844e-07, 0.5
131, 1.86481e-07, 0.5
132, 1.73609e-07, 0.5
133, 1.60153e-07, 0.5
134, 1.46461e-07, 0.5
135, 1.32888e-07, 0.5
136, 1.19782e-07, 0.5
