No, norm, delta_time
1, 0.140895, 0.75
2, 0.0606676, 0.75
3, 0.0450871, 0.75
4, 0.0369269, 0.75
5, 0.0315503, 0.75
6, 0.0280836, 0.75
7, 0.0246613, 0.75
8, 0.0222488, 0.75
9, 0.0197395, 0.75
10, 0.0179476, 0.75
11, 0.0161527, 0.75
12, 0.0148798, 0.75
13, 0.013663, 0.75
14, 0.0127902, 0.75
15, 0.0119819, 0.75
16, 0.0113699, 0.75
17, 0.01081, 0.75
18, 0.0103469, 0.75
19, 0.00992432, 0.75
20, 0.00954445, 0.75
21, 0.00919867, 0.75
22, 0.00887146, 0.75
23, 0.00857459, 0.75
24, 0.00828748, 0.75
25, 0.00802685, 0.75
26, 0.00777347, 0.75
27, 0.00754186, 0.75
28, 0.00731699, 0.75
29, 0.00710886, 0.75
30, 0.00690733, 0.75
31, 0.00671799, 0.75
32, 0.00653512, 0.75
33, 0.0063609, 0.75
34, 0.00619293, 0.75
35, 0.00603118, 0.75
36, 0.00587537, 0.75
37, 0.00572427, 0.75
38, 0.00557871, 0.75
39, 0.00543701, 0.75
40, 0.00530036, 0.75
41, 0.00516711, 0.75
42, 0.00503838, 0.75
43, 0.0049128, 0.75
44, 0.0047912, 0.75
45, 0.00467262, 0.75
46, 0.00455753, 0.75
47, 0.00444535, 0.75
48, 0.00433626, 0.75
49, 0.00422998, 0.75
50, 0.00412646, 0.75
51, 0.00402565, 0.75
52, 0.00392735, 0.75
53, 0.00383163, 0.75
54, 0.00373824, 0.75
55, 0.00364729, 0.75
56, 0.00355853, 0.75
57, 0.00347206, 0.75
58, 0.00338768, 0.75
59, 0.00330544, 0.75
60, 0.00322519, 0.75
61, 0.00314696, 0.75
62, 0.00307063, 0.75
63, 0.00299618, 0.75
64, 0.00292356, 0.75
65, 0.00285271, 0.75
66, 0.00278361, 0.75
67, 0.00271618, 0.75
68, 0.00265041, 0.75
69, 0.00258623, 0.75
70, 0.00252362, 0.75
71, 0.00246253, 0.75
72, 0.00240294, 0.75
73, 0.00234478, 0.75
74, 0.00228805, 0.75
75, 0.00223268, 0.75
76, 0.00217867, 0.75
77, 0.00212596, 0.75
78, 0.00207454, 0.75
79, 0.00202436, 0.75
80, 0.0019754, 0.75
81, 0.00192762, 0.75
82, 0.001881, 0.75
83, 0.00183552, 0.75
84, 0.00179113, 0.75
85, 0.00174782, 0.75
86, 0.00170555, 0.75
87, 0.00166432, 0.75
88, 0.00162407, 0.75
89, 0.00158481, 0.75
90, 0.00154649, 0.75
91, 0.0015091, 0.75
92, 0.00147262, 0.75
93, 0.00143702, 0.75
94, 0.00140227, 0.75
95, 0.00136837, 0.75
96, 0.00133529, 0.75
97, 0.00130301, 0.75
98, 0.00127152, 0.75
99, 0.00124078, 0.75
100, 0.00121078, 0.75
101, 0.00118151, 0.75
102, 0.00115295, 0.75
103, 0.00112508, 0.75
104, 0.00109789, 0.75
105, 0.00107135, 0.75
106, 0.00104545, 0.75
107, 0.00102018, 0.75
108, 0.000995521, 0.75
109, 0.000971457, 0.75
110, 0.000947976, 0.75
111, 0.000925061, 0.75
112, 0.000902701, 0.75
113, 0.000880882, 0.75
114, 0.000859589, 0.75
115, 0.000838812, 0.75
116, 0.000818537, 0.75
117, 0.000798752, 0.75
118, 0.000779445, 0.75
119, 0.000760605, 0.75
120, 0.000742221, 0.75
121, 0.00072428, 0.75
122, 0.000706774, 0.75
123, 0.000689691, 0.75
124, 0.00067302, 0.75
125, 0.000656753, 0.75
126, 0.000640879, 0.75
127, 0.000625388, 0.75
128, 0.000610272, 0.75
129, 0.000595521, 0.75
130, 0.000581127, 0.75
131, 0.000567081, 0.75
132, 0.000553374, 0.75
133, 0.000539999, 0.75
134, 0.000526947, 0.75
