No, norm, delta_time
1, 0.123891, 1
2, 0.0580912, 1
3, 0.0441048, 1
4, 0.0377287, 1
5, 0.0306688, 1
6, 0.0267583, 1
7, 0.0220658, 1
8, 0.0194439, 1
9, 0.0167154, 1
10, 0.0152027, 1
11, 0.0137905, 1
12, 0.0128875, 1
13, 0.0120868, 1
14, 0.0114258, 1
15, 0.0108607, 1
16, 0.010318, 1
17, 0.00986651, 1
18, 0.00942033, 1
19, 0.00904769, 1
20, 0.00868531, 1
21, 0.0083718, 1
22, 0.00807325, 1
23, 0.00780264, 1
24, 0.00754881, 1
25, 0.00731015, 1
26, 0.00708784, 1
27, 0.00687471, 1
28, 0.00667585, 1
29, 0.00648393, 1
30, 0.00630339, 1
31, 0.0061291, 1
32, 0.00596337, 1
33, 0.0058036, 1
34, 0.0056502, 1
35, 0.00550244, 1
36, 0.00535961, 1
37, 0.00522196, 1
38, 0.00508841, 1
39, 0.00495946, 1
40, 0.00483415, 1
41, 0.00471286, 1
42, 0.00459494, 1
43, 0.00448052, 1
44, 0.00436927, 1
45, 0.00426111, 1
46, 0.00415593, 1
47, 0.00405353, 1
48, 0.00395391, 1
49, 0.00385687, 1
50, 0.0037624, 1
51, 0.00367033, 1
52, 0.00358067, 1
53, 0.00349327, 1
54, 0.00340809, 1
55, 0.00332507, 1
56, 0.00324413, 1
57, 0.00316522, 1
58, 0.00308827, 1
59, 0.00301324, 1
60, 0.00294006, 1
61, 0.0028687, 1
62, 0.0027991, 1
63, 0.00273121, 1
64, 0.00266499, 1
65, 0.00260039, 1
66, 0.00253738, 1
67, 0.0024759, 1
68, 0.00241593, 1
69, 0.00235743, 1
70, 0.00230035, 1
71, 0.00224466, 1
72, 0.00219033, 1
73, 0.00213732, 1
74, 0.00208561, 1
75, 0.00203514, 1
76, 0.00198591, 1
77, 0.00193787, 1
78, 0.00189099, 1
79, 0.00184526, 1
80, 0.00180063, 1
81, 0.00175708, 1
82, 0.00171459, 1
83, 0.00167313, 1
84, 0.00163268, 1
85, 0.0015932, 1
86, 0.00155469, 1
87, 0.0015171, 1
88, 0.00148042, 1
89, 0.00144464, 1
90, 0.00140971, 1
91, 0.00137564, 1
92, 0.00134238, 1
93, 0.00130994, 1
94, 0.00127827, 1
95, 0.00124738, 1
96, 0.00121723, 1
97, 0.00118781, 1
98, 0.0011591, 1
99, 0.00113109, 1
100, 0.00110375, 1
101, 0.00107707, 1
102, 0.00105104, 1
103, 0.00102564, 1
104, 0.00100086, 1
105, 0.000976667, 1
106, 0.000953064, 1
107, 0.000930032, 1
108, 0.000907556, 1
109, 0.000885624, 1
110, 0.000864221, 1
111, 0.000843337, 1
112, 0.000822957, 1
113, 0.000803069, 1
114, 0.000783662, 1
115, 0.000764725, 1
116, 0.000746245, 1
117, 0.000728211, 1
118, 0.000710614, 1
119, 0.000693442, 1
120, 0.000676685, 1
121, 0.000660332, 1
122, 0.000644375, 1
123, 0.000628804, 1
124, 0.000613609, 1
125, 0.000598781, 1
126, 0.000584312, 1
127, 0.000570192, 1
128, 0.000556413, 1
129, 0.000542968, 1
130, 0.000529847, 1
131, 0.000517044, 1
132, 0.000504549, 1
133, 0.000492357, 1
134, 0.00048046, 1
135, 0.000468849, 1
136, 0.00045752, 1
137, 0.000446464, 1
138, 0.000435676, 1
139, 0.000425148, 1
140, 0.000414874, 1
141, 0.000404849, 1
142, 0.000395066, 1
143, 0.000385519, 1
144, 0.000376204, 1
145, 0.000367113, 1
146, 0.000358242, 1
147, 0.000349585, 1
148, 0.000341138, 1
149, 0.000332894, 1
150, 0.00032485, 1
151, 0.000317, 1
152, 0.00030934, 1
153, 0.000301865, 1
154, 0.000294571, 1
155, 0.000287453, 1
156, 0.000280507, 1
157, 0.000273728, 1
158, 0.000267114, 1
159, 0.000260659, 1
160, 0.000254361, 1
161, 0.000248214, 1
162, 0.000242216, 1
163, 0.000236363, 1
164, 0.000230652, 1
165, 0.000225078, 1
166, 0.000219639, 1
167, 0.000214332, 1
168, 0.000209153, 1
169, 0.000204099, 1
170, 0.000199167, 1
171, 0.000194354, 1
172, 0.000189658, 1
173, 0.000185075, 1
174, 0.000180602, 1
175, 0.000176238, 1
176, 0.00017198, 1
177, 0.000167824, 1
178, 0.000163768, 1
179, 0.000159811, 1
180, 0.000155949, 1
181, 0.000152181, 1
182, 0.000148504, 1
183, 0.000144915, 1
184, 0.000141413, 1
185, 0.000137996, 1
186, 0.000134662, 1
187, 0.000131408, 1
188, 0.000128232, 1
189, 0.000125134, 1
