No, norm, delta_time
1, 0.0344128, 0.75
2, 0.0313649, 0.75
3, 0.0279537, 0.75
4, 0.0243442, 0.75
5, 0.020714, 0.75
6, 0.0172212, 0.75
7, 0.0139897, 0.75
8, 0.011105, 0.75
9, 0.00861687, 0.75
10, 0.00654486, 0.75
11, 0.00488475, 0.75
12, 0.00361378, 0.75
13, 0.00269315, 0.75
14, 0.00206676, 0.75
15, 0.00166048, 0.75
16, 0.00139251, 0.75
17, 0.00119456, 0.75
18, 0.00102526, 0.75
19, 0.000867403, 0.75
20, 0.000718314, 0.75
21, 0.000581578, 0.75
22, 0.000462137, 0.75
23, 0.000363795, 0.75
24, 0.000287996, 0.75
25, 0.000233226, 0.75
26, 0.000195133, 0.75
27, 0.000167883, 0.75
28, 0.000146245, 0.75
29, 0.000126905, 0.75
30, 0.000108475, 0.75
31, 9.08421e-05, 0.75
32, 7.44965e-05, 0.75
33, 6.00736e-05, 0.75
34, 4.80789e-05, 0.75
35, 3.87292e-05, 0.75
36, 3.18678e-05, 0.75
37, 2.69829e-05, 0.75
38, 2.33834e-05, 0.75
39, 2.04506e-05, 0.75
40, 1.77932e-05, 0.75
41, 1.52508e-05, 0.75
42, 1.28196e-05, 0.75
43, 1.05712e-05, 0.75
44, 8.59454e-06, 0.75
45, 6.95805e-06, 0.75
46, 5.68676e-06, 0.75
47, 4.75082e-06, 0.75
48, 4.07253e-06, 0.75
49, 3.55535e-06, 0.75
50, 3.11826e-06, 0.75
51, 2.71337e-06, 0.75
52, 2.32382e-06, 0.75
53, 1.95283e-06, 0.75
54, 1.61278e-06, 0.75
55, 1.31719e-06, 0.75
56, 1.07545e-06, 0.75
57, 8.89527e-07, 0.75
58, 7.52704e-07, 0.75
59, 6.51737e-07, 0.75
60, 5.71941e-07, 0.75
61, 5.02056e-07, 0.75
62, 4.36088e-07, 0.75
63, 3.72489e-07, 0.75
64, 3.12397e-07, 0.75
65, 2.58022e-07, 0.75
66, 2.11483e-07, 0.75
67, 1.74025e-07, 0.75
68, 1.45552e-07, 0.75
69, 1.2457e-07, 0.75
70, 1.08727e-07, 0.75
71, 9.57185e-08, 0.75
72, 8.39493e-08, 0.75
73, 7.26871e-08, 0.75
74, 6.1854e-08, 0.75
75, 5.17329e-08, 0.75
76, 4.27189e-08, 0.75
77, 3.51426e-08, 0.75
78, 2.91508e-08, 0.75
