No, norm, delta_time
1, 0.12304, 1
2, 0.0477121, 1
3, 0.0267566, 1
4, 0.0167309, 1
5, 0.0110742, 1
6, 0.00758699, 1
7, 0.00531611, 1
8, 0.00378237, 1
9, 0.00271989, 1
10, 0.0019704, 1
11, 0.0014347, 1
12, 0.00104811, 1
13, 0.000767193, 1
14, 0.000562047, 1
15, 0.000411732, 1
16, 0.000301364, 1
17, 0.000220243, 1
18, 0.000160608, 1
19, 0.000116796, 1
20, 8.46499e-05, 1
21, 6.11087e-05, 1
22, 4.39125e-05, 1
23, 3.13901e-05, 1
24, 2.2305e-05, 1
25, 1.57421e-05, 1
26, 1.10247e-05, 1
27, 7.65326e-06, 1
28, 5.2596e-06, 1
29, 3.573e-06, 1
30, 2.39508e-06, 1
31, 1.58098e-06, 1
32, 1.02546e-06, 1
33, 6.5244e-07, 1
34, 4.07345e-07, 1
35, 2.5138e-07, 1
36, 1.57109e-07, 1
37, 1.04553e-07, 1
