No, norm, delta_time
1, 0.0589256, 1
2, 0.0396151, 1
3, 0.0269238, 1
4, 0.0185234, 1
5, 0.0129069, 1
6, 0.00910615, 1
7, 0.00650021, 1
8, 0.00468939, 1
9, 0.00341466, 1
10, 0.00250642, 1
11, 0.00185223, 1
12, 0.00137653, 1
13, 0.00102778, 1
14, 0.000770317, 1
15, 0.000579156, 1
16, 0.00043654, 1
17, 0.000329722, 1
18, 0.00024946, 1
19, 0.000188992, 1
20, 0.00014334, 1
21, 0.000108813, 1
22, 8.26637e-05, 1
23, 6.28359e-05, 1
24, 4.77874e-05, 1
25, 3.63574e-05, 1
26, 2.76704e-05, 1
27, 2.10648e-05, 1
28, 1.60397e-05, 1
29, 1.22157e-05, 1
30, 9.30474e-06, 1
31, 7.0884e-06, 1
32, 5.40056e-06, 1
33, 4.11499e-06, 1
34, 3.13568e-06, 1
35, 2.38958e-06, 1
36, 1.82111e-06, 1
37, 1.38794e-06, 1
38, 1.05785e-06, 1
39, 8.06286e-07, 1
40, 6.14564e-07, 1
41, 4.68442e-07, 1
42, 3.57071e-07, 1
43, 2.72182e-07, 1
44, 2.07478e-07, 1
45, 1.58158e-07, 1
46, 1.20563e-07, 1
47, 9.19055e-08, 1
48, 7.00604e-08, 1
49, 5.34081e-08, 1
