No, norm, delta_time
1, 0.17173, 0.75
2, 0.0623812, 0.75
3, 0.0326211, 0.75
4, 0.0200216, 0.75
5, 0.0132518, 0.75
6, 0.00924725, 0.75
7, 0.0066458, 0.75
8, 0.00487542, 0.75
9, 0.00362017, 0.75
10, 0.00271009, 0.75
11, 0.00203774, 0.75
12, 0.00153558, 0.75
13, 0.00115723, 0.75
14, 0.000870783, 0.75
15, 0.000653197, 0.75
16, 0.000487785, 0.75
17, 0.000362134, 0.75
18, 0.000266977, 0.75
19, 0.000195302, 0.75
20, 0.000141795, 0.75
21, 0.000102416, 0.75
22, 7.40942e-05, 0.75
23, 5.4471e-05, 0.75
24, 4.16346e-05, 0.75
25, 3.38379e-05, 0.75
26, 2.93693e-05, 0.75
27, 2.67323e-05, 0.75
28, 2.48911e-05, 0.75
29, 2.32843e-05, 0.75
30, 2.16736e-05, 0.75
31, 1.99928e-05, 0.75
32, 1.82533e-05, 0.75
33, 1.64939e-05, 0.75
34, 1.47577e-05, 0.75
35, 1.30824e-05, 0.75
36, 1.14969e-05, 0.75
37, 1.00213e-05, 0.75
38, 8.66732e-06, 0.75
39, 7.44051e-06, 0.75
40, 6.34113e-06, 0.75
41, 5.36571e-06, 0.75
42, 4.50813e-06, 0.75
43, 3.76055e-06, 0.75
44, 3.11408e-06, 0.75
45, 2.55939e-06, 0.75
46, 2.08712e-06, 0.75
47, 1.68813e-06, 0.75
48, 1.35377e-06, 0.75
49, 1.07598e-06, 0.75
50, 8.47409e-07, 0.75
51, 6.61424e-07, 0.75
52, 5.12167e-07, 0.75
53, 3.94524e-07, 0.75
54, 3.04081e-07, 0.75
55, 2.36982e-07, 0.75
56, 1.89627e-07, 0.75
57, 1.58248e-07, 0.75
