No, norm, delta_time
1, 0.0460592, 0.5
2, 0.032937, 0.5
3, 0.0242985, 0.5
4, 0.0183759, 0.5
5, 0.0141751, 0.5
6, 0.0111105, 0.5
7, 0.00882193, 0.5
8, 0.0070795, 0.5
9, 0.00573138, 0.5
10, 0.00467417, 0.5
11, 0.00383563, 0.5
12, 0.00316405, 0.5
13, 0.00262173, 0.5
14, 0.00218068, 0.5
15, 0.00181978, 0.5
16, 0.00152289, 0.5
17, 0.00127755, 0.5
18, 0.00107398, 0.5
19, 0.000904501, 0.5
20, 0.000762966, 0.5
21, 0.000644459, 0.5
22, 0.000545005, 0.5
23, 0.000461373, 0.5
24, 0.000390922, 0.5
25, 0.000331485, 0.5
26, 0.000281273, 0.5
27, 0.000238804, 0.5
28, 0.000202848, 0.5
29, 0.000172379, 0.5
30, 0.00014654, 0.5
31, 0.000124612, 0.5
32, 0.000105993, 0.5
33, 9.01753e-05, 0.5
34, 7.67319e-05, 0.5
35, 6.53022e-05, 0.5
36, 5.55814e-05, 0.5
37, 4.73119e-05, 0.5
38, 4.02755e-05, 0.5
39, 3.42871e-05, 0.5
40, 2.919e-05, 0.5
41, 2.48509e-05, 0.5
42, 2.11568e-05, 0.5
43, 1.80117e-05, 0.5
44, 1.53337e-05, 0.5
45, 1.30535e-05, 0.5
46, 1.1112e-05, 0.5
47, 9.45876e-06, 0.5
48, 8.05111e-06, 0.5
49, 6.85258e-06, 0.5
50, 5.83213e-06, 0.5
51, 4.96334e-06, 0.5
52, 4.2237e-06, 0.5
53, 3.59406e-06, 0.5
54, 3.05808e-06, 0.5
55, 2.60187e-06, 0.5
56, 2.21357e-06, 0.5
57, 1.88311e-06, 0.5
58, 1.60188e-06, 0.5
59, 1.36257e-06, 0.5
60, 1.15894e-06, 0.5
61, 9.85687e-07, 0.5
62, 8.3829e-07, 0.5
63, 7.12899e-07, 0.5
64, 6.06235e-07, 0.5
65, 5.15507e-07, 0.5
66, 4.38339e-07, 0.5
67, 3.72709e-07, 0.5
68, 3.16894e-07, 0.5
69, 2.6943e-07, 0.5
70, 2.29068e-07, 0.5
71, 1.94749e-07, 0.5
72, 1.65568e-07, 0.5
73, 1.40757e-07, 0.5
74, 1.19663e-07, 0.5
75, 1.01729e-07, 0.5
76, 8.64822e-08, 0.5
77, 7.35206e-08, 0.5
78, 6.25018e-08, 0.5
79, 5.31348e-08, 0.5
80, 4.51719e-08, 0.5
