No, norm, delta_time
1, 0.101412, 1
2, 0.0431662, 1
3, 0.024324, 1
4, 0.0152227, 1
5, 0.0100221, 1
6, 0.00678649, 1
7, 0.00467714, 1
8, 0.00326261, 1
9, 0.00229594, 1
10, 0.00162631, 1
11, 0.00115766, 1
12, 0.000827096, 1
13, 0.0005925, 1
14, 0.000425237, 1
15, 0.000305562, 1
16, 0.000219716, 1
17, 0.000158025, 1
18, 0.000113641, 1
19, 8.16886e-05, 1
20, 5.86811e-05, 1
21, 4.21173e-05, 1
22, 3.01979e-05, 1
23, 2.16268e-05, 1
24, 1.54692e-05, 1
25, 1.10502e-05, 1
26, 7.88278e-06, 1
27, 5.61554e-06, 1
28, 3.99493e-06, 1
29, 2.83823e-06, 1
30, 2.01388e-06, 1
31, 1.42726e-06, 1
32, 1.01045e-06, 1
33, 7.14714e-07, 1
34, 5.05169e-07, 1
35, 3.56884e-07, 1
36, 2.52068e-07, 1
37, 1.78048e-07, 1
38, 1.25815e-07, 1
39, 8.89742e-08, 1
