No, norm, delta_time
1, 0.0883883, 0.5
2, 0.0468953, 0.5
3, 0.0308551, 0.5
4, 0.0223724, 0.5
5, 0.0171223, 0.5
6, 0.013566, 0.5
7, 0.0110118, 0.5
8, 0.00910023, 0.5
9, 0.00762507, 0.5
10, 0.00645954, 0.5
11, 0.00552123, 0.5
12, 0.00475428, 0.5
13, 0.00411948, 0.5
14, 0.00358849, 0.5
15, 0.00314034, 0.5
16, 0.00275919, 0.5
17, 0.00243286, 0.5
18, 0.00215182, 0.5
19, 0.00190855, 0.5
20, 0.00169701, 0.5
21, 0.00151232, 0.5
22, 0.00135049, 0.5
23, 0.00120821, 0.5
24, 0.00108276, 0.5
25, 0.00097185, 0.5
26, 0.000873551, 0.5
27, 0.000786237, 0.5
28, 0.000708519, 0.5
29, 0.000639212, 0.5
30, 0.000577297, 0.5
31, 0.000521897, 0.5
32, 0.000472252, 0.5
33, 0.000427701, 0.5
34, 0.000387671, 0.5
35, 0.000351657, 0.5
36, 0.000319222, 0.5
37, 0.000289977, 0.5
38, 0.000263583, 0.5
39, 0.000239738, 0.5
40, 0.000218179, 0.5
41, 0.000198669, 0.5
42, 0.000180999, 0.5
43, 0.000164984, 0.5
44, 0.000150459, 0.5
45, 0.000137275, 0.5
46, 0.000125302, 0.5
47, 0.000114421, 0.5
48, 0.000104528, 0.5
49, 9.55267e-05, 0.5
50, 8.73332e-05, 0.5
51, 7.9871e-05, 0.5
52, 7.30716e-05, 0.5
53, 6.68731e-05, 0.5
54, 6.122e-05, 0.5
55, 5.60621e-05, 0.5
56, 5.1354e-05, 0.5
57, 4.70547e-05, 0.5
58, 4.31273e-05, 0.5
59, 3.95384e-05, 0.5
60, 3.62575e-05, 0.5
61, 3.32571e-05, 0.5
62, 3.05125e-05, 0.5
63, 2.8001e-05, 0.5
64, 2.57021e-05, 0.5
65, 2.35972e-05, 0.5
66, 2.16693e-05, 0.5
67, 1.99031e-05, 0.5
68, 1.82846e-05, 0.5
69, 1.6801e-05, 0.5
70, 1.54407e-05, 0.5
71, 1.41932e-05, 0.5
72, 1.30489e-05, 0.5
73, 1.1999e-05, 0.5
74, 1.10355e-05, 0.5
75, 1.0151e-05, 0.5
76, 9.33896e-06, 0.5
77, 8.59325e-06, 0.5
78, 7.90832e-06, 0.5
79, 7.2791e-06, 0.5
80, 6.70093e-06, 0.5
81, 6.16958e-06, 0.5
82, 5.68118e-06, 0.5
83, 5.23216e-06, 0.5
84, 4.81928e-06, 0.5
85, 4.43957e-06, 0.5
86, 4.09031e-06, 0.5
87, 3.76901e-06, 0.5
88, 3.47337e-06, 0.5
89, 3.20131e-06, 0.5
90, 2.95091e-06, 0.5
91, 2.72042e-06, 0.5
92, 2.50821e-06, 0.5
93, 2.31282e-06, 0.5
94, 2.13288e-06, 0.5
95, 1.96715e-06, 0.5
96, 1.81449e-06, 0.5
97, 1.67385e-06, 0.5
98, 1.54427e-06, 0.5
99, 1.42486e-06, 0.5
100, 1.31481e-06, 0.5
101, 1.21338e-06, 0.5
102, 1.11987e-06, 0.5
103, 1.03367e-06, 0.5
104, 9.54192e-07, 0.5
105, 8.80902e-07, 0.5
106, 8.13311e-07, 0.5
107, 7.50972e-07, 0.5
108, 6.93469e-07, 0.5
109, 6.40422e-07, 0.5
110, 5.91481e-07, 0.5
111, 5.46324e-07, 0.5
112, 5.04654e-07, 0.5
113, 4.66198e-07, 0.5
114, 4.30706e-07, 0.5
115, 3.97946e-07, 0.5
116, 3.67704e-07, 0.5
117, 3.39785e-07, 0.5
118, 3.14009e-07, 0.5
119, 2.90208e-07, 0.5
120, 2.6823e-07, 0.5
121, 2.47933e-07, 0.5
122, 2.29187e-07, 0.5
123, 2.11873e-07, 0.5
124, 1.95879e-07, 0.5
125, 1.81105e-07, 0.5
126, 1.67455e-07, 0.5
127, 1.54843e-07, 0.5
128, 1.43191e-07, 0.5
129, 1.32423e-07, 0.5
130, 1.22472e-07, 0.5
131, 1.13275e-07, 0.5
132, 1.04775e-07, 0.5
133, 9.69187e-08, 0.5
134, 8.96562e-08, 0.5
135, 8.29425e-08, 0.5
