No, norm, delta_time
1, 0.176777, 1
2, 0.0455543, 1
3, 0.0358022, 1
4, 0.0186022, 1
5, 0.0149166, 1
6, 0.00950208, 1
7, 0.00772974, 1
8, 0.00540105, 1
9, 0.00443824, 1
10, 0.00326319, 1
11, 0.00270119, 1
12, 0.00204965, 1
13, 0.00170604, 1
14, 0.0013222, 1
15, 0.00110528, 1
16, 0.000869599, 1
17, 0.000729444, 1
18, 0.000580371, 1
19, 0.000488213, 1
20, 0.000391815, 1
21, 0.000330382, 1
22, 0.000266977, 1
23, 0.000225574, 1
24, 0.000183306, 1
25, 0.00015515, 1
26, 0.000126666, 1
27, 0.000107374, 1
28, 8.80052e-05, 1
29, 7.47024e-05, 1
30, 6.14333e-05, 1
31, 5.221e-05, 1
32, 4.30612e-05, 1
33, 3.66358e-05, 1
34, 3.02933e-05, 1
35, 2.57983e-05, 1
36, 2.13801e-05, 1
37, 1.82238e-05, 1
38, 1.51331e-05, 1
39, 1.29095e-05, 1
40, 1.07394e-05, 1
41, 9.16827e-06, 1
42, 7.63948e-06, 1
43, 6.52631e-06, 1
44, 5.44608e-06, 1
45, 4.65546e-06, 1
46, 3.89012e-06, 1
47, 3.32733e-06, 1
48, 2.78376e-06, 1
49, 2.38233e-06, 1
50, 1.9954e-06, 1
51, 1.70853e-06, 1
52, 1.43253e-06, 1
53, 1.22716e-06, 1
54, 1.02992e-06, 1
55, 8.8267e-07, 1
56, 7.41466e-07, 1
57, 6.35721e-07, 1
58, 5.34471e-07, 1
59, 4.58427e-07, 1
60, 3.85716e-07, 1
61, 3.3096e-07, 1
62, 2.78671e-07, 1
63, 2.39196e-07, 1
64, 2.01542e-07, 1
65, 1.73051e-07, 1
