No, norm, delta_time
1, 0.00612443, 0.0025
2, 0.00609818, 0.0025
3, 0.00608208, 0.0025
4, 0.00607446, 0.0025
5, 0.00607235, 0.0025
6, 0.00607311, 0.0025
7, 0.00607513, 0.0025
8, 0.00607772, 0.0025
9, 0.00608072, 0.0025
10, 0.0060841, 0.0025
11, 0.00608777, 0.0025
12, 0.00609151, 0.0025
13, 0.00609506, 0.0025
14, 0.00609822, 0.0025
15, 0.0061009, 0.0025
16, 0.00610308, 0.0025
17, 0.00610486, 0.0025
18, 0.00610631, 0.0025
19, 0.00610751, 0.0025
20, 0.00610852, 0.0025
21, 0.00610938, 0.0025
22, 0.00611012, 0.0025
23, 0.0061108, 0.0025
24, 0.00611146, 0.0025
25, 0.00611214, 0.0025
26, 0.00611287, 0.0025
27, 0.00611366, 0.0025
28, 0.00611452, 0.0025
29, 0.00611543, 0.0025
30, 0.00611639, 0.0025
31, 0.00611741, 0.0025
32, 0.00611849, 0.0025
33, 0.00611963, 0.0025
34, 0.00612083, 0.0025
35, 0.00612211, 0.0025
36, 0.00612344, 0.0025
37, 0.00612482, 0.0025
38, 0.00612624, 0.0025
39, 0.00612771, 0.0025
40, 0.00612921, 0.0025
41, 0.00613074, 0.0025
42, 0.00613232, 0.0025
43, 0.00613394, 0.0025
44, 0.0061356, 0.0025
45, 0.00613728, 0.0025
46, 0.00613898, 0.0025
47, 0.00614071, 0.0025
48, 0.00614245, 0.0025
49, 0.00614421, 0.0025
50, 0.00614599, 0.0025
51, 0.00614779, 0.0025
52, 0.00614961, 0.0025
53, 0.00615145, 0.0025
54, 0.00615329, 0.0025
55, 0.00615514, 0.0025
56, 0.006157, 0.0025
57, 0.00615886, 0.0025
58, 0.00616073, 0.0025
59, 0.0061626, 0.0025
60, 0.00616449, 0.0025
61, 0.00616637, 0.0025
62, 0.00616826, 0.0025
63, 0.00617015, 0.0025
64, 0.00617204, 0.0025
65, 0.00617393, 0.0025
66, 0.00617581, 0.0025
67, 0.00617769, 0.0025
68, 0.00617957, 0.0025
69, 0.00618145, 0.0025
70, 0.00618333, 0.0025
71, 0.00618521, 0.0025
72, 0.00618708, 0.0025
73, 0.00618894, 0.0025
74, 0.00619079, 0.0025
75, 0.00619264, 0.0025
76, 0.00619448, 0.0025
77, 0.00619632, 0.0025
78, 0.00619815, 0.0025
79, 0.00619998, 0.0025
80, 0.0062018, 0.0025
81, 0.00620361, 0.0025
82, 0.00620541, 0.0025
83, 0.0062072, 0.0025
84, 0.00620898, 0.0025
85, 0.00621075, 0.0025
86, 0.00621251, 0.0025
87, 0.00621427, 0.0025
88, 0.00621602, 0.0025
89, 0.00621776, 0.0025
90, 0.00621949, 0.0025
91, 0.00622121, 0.0025
92, 0.00622291, 0.0025
93, 0.00622461, 0.0025
94, 0.0062263, 0.0025
95, 0.00622797, 0.0025
96, 0.00622964, 0.0025
97, 0.0062313, 0.0025
98, 0.00623294, 0.0025
99, 0.00623458, 0.0025
100, 0.0062362, 0.0025
101, 0.00623781, 0.0025
102, 0.00623941, 0.0025
