No, norm, delta_time
1, 0.0383586, 0.005
2, 0.0376506, 0.005
3, 0.0372674, 0.005
4, 0.0375555, 0.005
5, 0.037898, 0.005
6, 0.0379987, 0.005
7, 0.037975, 0.005
8, 0.0383059, 0.005
9, 0.0387258, 0.005
10, 0.0389645, 0.005
11, 0.0390172, 0.005
12, 0.0392218, 0.005
13, 0.039678, 0.005
14, 0.040066, 0.005
15, 0.0402402, 0.005
16, 0.0402843, 0.005
17, 0.0406868, 0.005
18, 0.0412062, 0.005
19, 0.0415514, 0.005
20, 0.041675, 0.005
21, 0.0418139, 0.005
22, 0.0423275, 0.005
23, 0.0428809, 0.005
24, 0.0431898, 0.005
25, 0.0432723, 0.005
26, 0.0435929, 0.005
27, 0.0442091, 0.005
28, 0.0447647, 0.005
29, 0.0450342, 0.005
30, 0.0450854, 0.005
31, 0.0455856, 0.005
32, 0.0462982, 0.005
33, 0.0468586, 0.005
34, 0.0470956, 0.005
35, 0.0471707, 0.005
36, 0.047794, 0.005
37, 0.0486127, 0.005
38, 0.0491908, 0.005
39, 0.0494071, 0.005
40, 0.0495495, 0.005
41, 0.0502823, 0.005
42, 0.0512162, 0.005
43, 0.051828, 0.005
44, 0.0520336, 0.005
45, 0.0522613, 0.005
46, 0.0530982, 0.005
47, 0.0541651, 0.005
48, 0.0548369, 0.005
49, 0.0550468, 0.005
50, 0.0553495, 0.005
51, 0.056294, 0.005
52, 0.0575187, 0.005
53, 0.0582954, 0.005
54, 0.0585351, 0.005
55, 0.0588631, 0.005
56, 0.0599262, 0.005
57, 0.0613342, 0.005
58, 0.0622922, 0.005
59, 0.0626115, 0.005
60, 0.0628598, 0.005
61, 0.0640512, 0.005
62, 0.0656455, 0.005
63, 0.066916, 0.005
64, 0.0674131, 0.005
65, 0.0674434, 0.005
66, 0.0687192, 0.005
67, 0.0704158, 0.005
68, 0.072215, 0.005
69, 0.0730837, 0.005
70, 0.0728915, 0.005
71, 0.0739909, 0.005
72, 0.0756372, 0.005
73, 0.0781132, 0.005
74, 0.0797107, 0.005
75, 0.0799943, 0.005
76, 0.0800588, 0.005
77, 0.0819946, 0.005
78, 0.0842664, 0.005
79, 0.0871341, 0.005
80, 0.0886402, 0.005
81, 0.0875752, 0.005
82, 0.0883058, 0.005
83, 0.0910543, 0.005
84, 0.0940538, 0.005
85, 0.0976022, 0.005
86, 0.0993807, 0.005
87, 0.09597, 0.005
88, 0.095393, 0.005
89, 0.0996449, 0.005
90, 0.104614, 0.005
91, 0.109646, 0.005
92, 0.113486, 0.005
93, 0.111813, 0.005
94, 0.0964794, 0.005
95, 0.077104, 0.005
96, 0.0575956, 0.005
97, 0.0407213, 0.005
98, 0.027617, 0.005
99, 0.0181838, 0.005
100, 0.0117363, 0.005
101, 0.00747822, 0.005
102, 0.00472742, 0.005
103, 0.00297472, 0.005
104, 0.00186725, 0.005
105, 0.00117085, 0.005
106, 0.000734083, 0.005
107, 0.000460455, 0.005
108, 0.000289068, 0.005
109, 0.000181676, 0.005
110, 0.000114331, 0.005
111, 7.20543e-05, 0.005
112, 4.54807e-05, 0.005
113, 2.87543e-05, 0.005
114, 1.82103e-05, 0.005
115, 1.15529e-05, 0.005
116, 7.34259e-06, 0.005
117, 4.67527e-06, 0.005
118, 2.98248e-06, 0.005
119, 1.90622e-06, 0.005
120, 1.22068e-06, 0.005
121, 7.83188e-07, 0.005
122, 5.03467e-07, 0.005
123, 3.24275e-07, 0.005
124, 2.09261e-07, 0.005
125, 1.35298e-07, 0.005
126, 8.76406e-08, 0.005
127, 5.68749e-08, 0.005
128, 3.6976e-08, 0.005
