No, norm, delta_time
1, 0.0575379, 0.0075
2, 0.0566409, 0.0075
3, 0.0567669, 0.0075
4, 0.0570661, 0.0075
5, 0.0574511, 0.0075
6, 0.0578828, 0.0075
7, 0.0583513, 0.0075
8, 0.0588478, 0.0075
9, 0.0593695, 0.0075
10, 0.0599144, 0.0075
11, 0.0604809, 0.0075
12, 0.0610691, 0.0075
13, 0.0616783, 0.0075
14, 0.0623088, 0.0075
15, 0.0629611, 0.0075
16, 0.0636352, 0.0075
17, 0.0643319, 0.0075
18, 0.065052, 0.0075
19, 0.065796, 0.0075
20, 0.0665647, 0.0075
21, 0.0673596, 0.0075
22, 0.0681809, 0.0075
23, 0.0690299, 0.0075
24, 0.0699085, 0.0075
25, 0.0708171, 0.0075
26, 0.0717566, 0.0075
27, 0.07273, 0.0075
28, 0.073738, 0.0075
29, 0.0747807, 0.0075
30, 0.075862, 0.0075
31, 0.0769843, 0.0075
32, 0.0781459, 0.0075
33, 0.0793502, 0.0075
34, 0.0806041, 0.0075
35, 0.0819049, 0.0075
36, 0.0832502, 0.0075
37, 0.0846531, 0.0075
38, 0.0861191, 0.0075
39, 0.0876331, 0.0075
40, 0.0892, 0.0075
41, 0.0908518, 0.0075
42, 0.0925812, 0.0075
43, 0.0943463, 0.0075
44, 0.0961758, 0.0075
45, 0.0981451, 0.0075
46, 0.10021, 0.0075
47, 0.102255, 0.0075
48, 0.104357, 0.0075
49, 0.106722, 0.0075
50, 0.109247, 0.0075
51, 0.11157, 0.0075
52, 0.11377, 0.0075
53, 0.116489, 0.0075
54, 0.119822, 0.0075
55, 0.12268, 0.0075
56, 0.124252, 0.0075
57, 0.125843, 0.0075
58, 0.129865, 0.0075
59, 0.136051, 0.0075
60, 0.140041, 0.0075
61, 0.136708, 0.0075
62, 0.123958, 0.0075
63, 0.103777, 0.0075
64, 0.0806052, 0.0075
65, 0.0587703, 0.0075
66, 0.0408283, 0.0075
67, 0.0274289, 0.0075
68, 0.0180462, 0.0075
69, 0.0117409, 0.0075
70, 0.00760568, 0.0075
71, 0.00492825, 0.0075
72, 0.00320346, 0.0075
73, 0.00209239, 0.0075
74, 0.00137442, 0.0075
75, 0.000908148, 0.0075
76, 0.000603509, 0.0075
77, 0.000403206, 0.0075
78, 0.000270672, 0.0075
79, 0.000182456, 0.0075
80, 0.000123419, 0.0075
81, 8.37212e-05, 0.0075
82, 5.69175e-05, 0.0075
83, 3.87585e-05, 0.0075
84, 2.64225e-05, 0.0075
85, 1.80247e-05, 0.0075
86, 1.22991e-05, 0.0075
87, 8.39149e-06, 0.0075
88, 5.72314e-06, 0.0075
89, 3.90075e-06, 0.0075
90, 2.65636e-06, 0.0075
91, 1.80706e-06, 0.0075
92, 1.22782e-06, 0.0075
93, 8.33158e-07, 0.0075
94, 5.64547e-07, 0.0075
95, 3.8196e-07, 0.0075
96, 2.5802e-07, 0.0075
97, 1.74013e-07, 0.0075
98, 1.17163e-07, 0.0075
99, 7.87515e-08, 0.0075
100, 5.28426e-08, 0.0075
