No, norm, delta_time
1, 0.0767172, 0.01
2, 0.0758195, 0.01
3, 0.0765772, 0.01
4, 0.0775354, 0.01
5, 0.0784595, 0.01
6, 0.0795988, 0.01
7, 0.0807478, 0.01
8, 0.0818734, 0.01
9, 0.083332, 0.01
10, 0.0843371, 0.01
11, 0.0861521, 0.01
12, 0.0870738, 0.01
13, 0.0890831, 0.01
14, 0.0902479, 0.01
15, 0.0920092, 0.01
16, 0.0939092, 0.01
17, 0.0950701, 0.01
18, 0.0977533, 0.01
19, 0.0987725, 0.01
20, 0.101325, 0.01
21, 0.103431, 0.01
22, 0.104807, 0.01
23, 0.108362, 0.01
24, 0.10936, 0.01
25, 0.112541, 0.01
26, 0.115518, 0.01
27, 0.116644, 0.01
28, 0.121517, 0.01
29, 0.123051, 0.01
30, 0.125977, 0.01
31, 0.131286, 0.01
32, 0.131841, 0.01
33, 0.137385, 0.01
34, 0.14202, 0.01
35, 0.142648, 0.01
36, 0.15082, 0.01
37, 0.154434, 0.01
38, 0.155688, 0.01
39, 0.166543, 0.01
40, 0.169537, 0.01
41, 0.170342, 0.01
42, 0.184602, 0.01
43, 0.188919, 0.01
44, 0.184262, 0.01
45, 0.200792, 0.01
46, 0.215524, 0.01
47, 0.191542, 0.01
48, 0.130831, 0.01
49, 0.0722163, 0.01
50, 0.0354824, 0.01
51, 0.0165427, 0.01
52, 0.00755473, 0.01
53, 0.00342992, 0.01
54, 0.00155874, 0.01
55, 0.000711323, 0.01
56, 0.000326445, 0.01
57, 0.000150761, 0.01
58, 7.00817e-05, 0.01
59, 3.27905e-05, 0.01
60, 1.54396e-05, 0.01
61, 7.3137e-06, 0.01
62, 3.48401e-06, 0.01
63, 1.66826e-06, 0.01
64, 8.02551e-07, 0.01
65, 3.87683e-07, 0.01
66, 1.87952e-07, 0.01
67, 9.14019e-08, 0.01
68, 4.45637e-08, 0.01
