No, norm, delta_time
1, 0.036512, 0.01
2, 0.0363637, 0.01
3, 0.0363723, 0.01
4, 0.036425, 0.01
5, 0.0364998, 0.01
6, 0.0365886, 0.01
7, 0.0366878, 0.01
8, 0.0367952, 0.01
9, 0.0369094, 0.01
10, 0.0370295, 0.01
11, 0.037155, 0.01
12, 0.0372852, 0.01
13, 0.03742, 0.01
14, 0.037559, 0.01
15, 0.0377021, 0.01
16, 0.0378492, 0.01
17, 0.038, 0.01
18, 0.0381547, 0.01
19, 0.038313, 0.01
20, 0.0384751, 0.01
21, 0.0386408, 0.01
22, 0.0388101, 0.01
23, 0.0389832, 0.01
24, 0.03916, 0.01
25, 0.0393404, 0.01
26, 0.0395247, 0.01
27, 0.0397128, 0.01
28, 0.0399048, 0.01
29, 0.0401007, 0.01
30, 0.0403006, 0.01
31, 0.0405046, 0.01
32, 0.0407128, 0.01
33, 0.0409253, 0.01
34, 0.0411421, 0.01
35, 0.0413634, 0.01
36, 0.0415892, 0.01
37, 0.0418198, 0.01
38, 0.0420552, 0.01
39, 0.0422955, 0.01
40, 0.0425409, 0.01
41, 0.0427916, 0.01
42, 0.0430477, 0.01
43, 0.0433093, 0.01
44, 0.0435767, 0.01
45, 0.04385, 0.01
46, 0.0441294, 0.01
47, 0.0444151, 0.01
48, 0.0447074, 0.01
49, 0.0450064, 0.01
50, 0.0453124, 0.01
51, 0.0456257, 0.01
52, 0.0459465, 0.01
53, 0.0462751, 0.01
54, 0.0466118, 0.01
55, 0.0469569, 0.01
56, 0.0473108, 0.01
57, 0.0476738, 0.01
58, 0.0480464, 0.01
59, 0.0484288, 0.01
60, 0.0488215, 0.01
61, 0.049225, 0.01
62, 0.0496398, 0.01
63, 0.0500664, 0.01
64, 0.0505053, 0.01
65, 0.0509571, 0.01
66, 0.0514224, 0.01
67, 0.0519019, 0.01
68, 0.0523964, 0.01
69, 0.0529065, 0.01
70, 0.0534331, 0.01
71, 0.0539771, 0.01
72, 0.0545394, 0.01
73, 0.0551211, 0.01
74, 0.0557231, 0.01
75, 0.0563468, 0.01
76, 0.0569932, 0.01
77, 0.0576638, 0.01
78, 0.0583599, 0.01
79, 0.0590831, 0.01
80, 0.059835, 0.01
81, 0.0606171, 0.01
82, 0.0614312, 0.01
83, 0.0622789, 0.01
84, 0.0631617, 0.01
85, 0.0640809, 0.01
86, 0.0650372, 0.01
87, 0.0660303, 0.01
88, 0.0670582, 0.01
89, 0.0681162, 0.01
90, 0.0691946, 0.01
91, 0.0702764, 0.01
92, 0.071332, 0.01
93, 0.0723137, 0.01
94, 0.073147, 0.01
95, 0.0737219, 0.01
96, 0.073888, 0.01
97, 0.0734588, 0.01
98, 0.072233, 0.01
99, 0.0700362, 0.01
100, 0.0667723, 0.01
101, 0.0624663, 0.01
102, 0.0572782, 0.01
103, 0.0514789, 0.01
104, 0.0453957, 0.01
105, 0.0393508, 0.01
106, 0.0336114, 0.01
107, 0.0283633, 0.01
108, 0.0237083, 0.01
109, 0.019677, 0.01
110, 0.0162496, 0.01
111, 0.013375, 0.01
112, 0.0109875, 0.01
113, 0.0090176, 0.01
114, 0.00739907, 0.01
115, 0.00607236, 0.01
116, 0.00498597, 0.01
117, 0.00409647, 0.01
118, 0.00336779, 0.01
119, 0.00277034, 0.01
120, 0.00227997, 0.01
121, 0.00187704, 0.01
122, 0.00154562, 0.01
123, 0.00127276, 0.01
124, 0.00104793, 0.01
125, 0.000862577, 0.01
126, 0.000709703, 0.01
127, 0.00058359, 0.01
128, 0.000479554, 0.01
129, 0.000393742, 0.01
130, 0.000322988, 0.01
131, 0.000264677, 0.01
132, 0.000216652, 0.01
133, 0.000177131, 0.01
134, 0.000144636, 0.01
135, 0.000117947, 0.01
136, 9.60495e-05, 0.01
137, 7.81058e-05, 0.01
138, 6.34209e-05, 0.01
139, 5.14192e-05, 0.01
140, 4.16244e-05, 0.01
141, 3.36426e-05, 0.01
142, 2.7148e-05, 0.01
143, 2.18719e-05, 0.01
144, 1.75924e-05, 0.01
145, 1.41271e-05, 0.01
146, 1.13256e-05, 0.01
147, 9.06458e-06, 0.01
148, 7.24288e-06, 0.01
149, 5.77763e-06, 0.01
150, 4.60111e-06, 0.01
151, 3.65806e-06, 0.01
152, 2.90344e-06, 0.01
153, 2.30067e-06, 0.01
154, 1.82e-06, 0.01
155, 1.43738e-06, 0.01
156, 1.13333e-06, 0.01
157, 8.92136e-07, 0.01
158, 7.01125e-07, 0.01
159, 5.50117e-07, 0.01
160, 4.30937e-07, 0.01
161, 3.37037e-07, 0.01
162, 2.63178e-07, 0.01
163, 2.0518e-07, 0.01
164, 1.59713e-07, 0.01
165, 1.24127e-07, 0.01
166, 9.6322e-08, 0.01
167, 7.46306e-08, 0.01
168, 5.77363e-08, 0.01
169, 4.45991e-08, 0.01
170, 3.43997e-08, 0.01
