No, norm, delta_time
1, 0.0912543, 0.0125
2, 0.0906383, 0.0125
3, 0.0908835, 0.0125
4, 0.0913456, 0.0125
5, 0.0919282, 0.0125
6, 0.0925956, 0.0125
7, 0.0933312, 0.0125
8, 0.0941263, 0.0125
9, 0.0949762, 0.0125
10, 0.0958783, 0.0125
11, 0.0968316, 0.0125
12, 0.0978361, 0.0125
13, 0.0988925, 0.0125
14, 0.100002, 0.0125
15, 0.101166, 0.0125
16, 0.102387, 0.0125
17, 0.103668, 0.0125
18, 0.105011, 0.0125
19, 0.10642, 0.0125
20, 0.107898, 0.0125
21, 0.109448, 0.0125
22, 0.111075, 0.0125
23, 0.112781, 0.0125
24, 0.11457, 0.0125
25, 0.116444, 0.0125
26, 0.118402, 0.0125
27, 0.12044, 0.0125
28, 0.122548, 0.0125
29, 0.124702, 0.0125
30, 0.12686, 0.0125
31, 0.128942, 0.0125
32, 0.130806, 0.0125
33, 0.132212, 0.0125
34, 0.132766, 0.0125
35, 0.131884, 0.0125
36, 0.128806, 0.0125
37, 0.122759, 0.0125
38, 0.113291, 0.0125
39, 0.100631, 0.0125
40, 0.0857894, 0.0125
41, 0.0702596, 0.0125
42, 0.0555047, 0.0125
43, 0.0425499, 0.0125
44, 0.031859, 0.0125
45, 0.0234385, 0.0125
46, 0.0170266, 0.0125
47, 0.0122586, 0.0125
48, 0.00876999, 0.0125
49, 0.00624506, 0.0125
50, 0.00443095, 0.0125
51, 0.00313411, 0.0125
52, 0.00221049, 0.0125
53, 0.00155465, 0.0125
54, 0.00109021, 0.0125
55, 0.000762196, 0.0125
56, 0.000531162, 0.0125
57, 0.000368914, 0.0125
58, 0.000255327, 0.0125
59, 0.000176071, 0.0125
60, 0.000120964, 0.0125
61, 8.27879e-05, 0.0125
62, 5.64413e-05, 0.0125
63, 3.83293e-05, 0.0125
64, 2.59275e-05, 0.0125
65, 1.74698e-05, 0.0125
66, 1.17252e-05, 0.0125
67, 7.83904e-06, 0.0125
68, 5.22078e-06, 0.0125
69, 3.46381e-06, 0.0125
70, 2.28951e-06, 0.0125
71, 1.50772e-06, 0.0125
72, 9.89272e-07, 0.0125
73, 6.46776e-07, 0.0125
74, 4.21368e-07, 0.0125
75, 2.73569e-07, 0.0125
76, 1.77011e-07, 0.0125
77, 1.14153e-07, 0.0125
78, 7.33764e-08, 0.0125
