No, norm, delta_time
1, 0.0367466, 0.015
2, 0.037206, 0.015
3, 0.037328, 0.015
4, 0.0373765, 0.015
5, 0.037642, 0.015
6, 0.038142, 0.015
7, 0.038055, 0.015
8, 0.0381411, 0.015
9, 0.0388271, 0.015
10, 0.038836, 0.015
11, 0.0387646, 0.015
12, 0.039589, 0.015
13, 0.0395882, 0.015
14, 0.0394366, 0.015
15, 0.0404051, 0.015
16, 0.0402634, 0.015
17, 0.0401604, 0.015
18, 0.0412654, 0.015
19, 0.0408513, 0.015
20, 0.0409866, 0.015
21, 0.042163, 0.015
22, 0.0413777, 0.015
23, 0.0420069, 0.015
24, 0.0430907, 0.015
25, 0.0419106, 0.015
26, 0.0431804, 0.015
27, 0.0437523, 0.015
28, 0.042533, 0.015
29, 0.0442229, 0.015
30, 0.0438656, 0.015
31, 0.043386, 0.015
32, 0.0452216, 0.015
33, 0.0439401, 0.015
34, 0.0447257, 0.015
35, 0.0461976, 0.015
36, 0.0442178, 0.015
37, 0.0461737, 0.015
38, 0.0462565, 0.015
39, 0.0448952, 0.015
40, 0.0472971, 0.015
41, 0.0457471, 0.015
42, 0.0463461, 0.015
43, 0.0482621, 0.015
44, 0.0456159, 0.015
45, 0.0480633, 0.015
46, 0.0478968, 0.015
47, 0.046259, 0.015
48, 0.0491873, 0.015
49, 0.0467244, 0.015
50, 0.0482185, 0.015
51, 0.0499738, 0.015
52, 0.0463943, 0.015
53, 0.0497475, 0.015
54, 0.0480548, 0.015
55, 0.0474816, 0.015
56, 0.0505006, 0.015
57, 0.0463619, 0.015
58, 0.0497039, 0.015
59, 0.0496212, 0.015
60, 0.0512981, 0.015
61, 0.048287, 0.015
62, 0.0168479, 0.015
63, 0.00355934, 0.015
64, 0.000621786, 0.015
65, 0.000102505, 0.015
66, 1.65593e-05, 0.015
67, 2.6538e-06, 0.015
68, 4.24386e-07, 0.015
69, 6.79657e-08, 0.015
70, 1.09279e-08, 0.015
