No, norm, delta_time
1, 0.0368892, 0.015
2, 0.037474, 0.015
3, 0.0383161, 0.015
4, 0.039526, 0.015
5, 0.0412403, 0.015
6, 0.043634, 0.015
7, 0.046936, 0.015
8, 0.0513945, 0.015
9, 0.0571469, 0.015
10, 0.0640744, 0.015
11, 0.0718539, 0.015
12, 0.0803122, 0.015
13, 0.0898296, 0.015
14, 0.101186, 0.015
15, 0.114453, 0.015
16, 0.127967, 0.015
17, 0.139518, 0.015
18, 0.149992, 0.015
19, 0.164704, 0.015
20, 0.186032, 0.015
21, 0.206772, 0.015
22, 0.219985, 0.015
23, 0.232492, 0.015
24, 0.255988, 0.015
25, 0.284944, 0.015
26, 0.30709, 0.015
27, 0.323314, 0.015
28, 0.339655, 0.014987
29, 0.364352, 0.015
30, 0.39912, 0.0149246
31, 0.411601, 0.0146908
32, 0.406323, 0.015
33, 0.432507, 0.0148653
34, 0.473651, 0.0145416
35, 0.459624, 0.015
36, 0.445373, 0.0147761
37, 0.495565, 0.0144693
38, 0.497524, 0.0149232
39, 0.4333, 0.0146507
40, 0.492137, 0.014503
41, 0.46171, 0.0146287
42, 0.422172, 0.0145342
43, 0.463043, 0.0144873
44, 0.343794, 0.0145894
45, 0.375849, 0.0145098
46, 0.355495, 0.015
47, 0.32528, 0.0145886
48, 0.333103, 0.014679
49, 0.305746, 0.0149122
50, 0.323638, 0.0144871
51, 0.219011, 0.015
52, 0.212862, 0.0146082
53, 0.214912, 0.015
54, 0.210761, 0.015
55, 0.198468, 0.015
56, 0.192913, 0.015
57, 0.174907, 0.015
58, 0.177186, 0.015
59, 0.170725, 0.015
60, 0.180049, 0.015
61, 0.113766, 0.015
62, 0.0336958, 0.015
63, 0.00548891, 0.015
64, 0.000716472, 0.015
65, 9.08343e-05, 0.015
66, 1.1649e-05, 0.015
67, 1.52897e-06, 0.015
68, 2.07484e-07, 0.015
69, 2.94563e-08, 0.015
