No, norm, delta_time
1, 0.042871, 0.0175
2, 0.0441963, 0.0174912
3, 0.0465231, 0.0174804
4, 0.0481806, 0.0174714
5, 0.0470864, 0.0174781
6, 0.0457798, 0.0174549
7, 0.0488008, 0.0173817
8, 0.0536584, 0.0173684
9, 0.0553332, 0.0173777
10, 0.0496955, 0.0173777
11, 0.0515216, 0.0173194
12, 0.0582779, 0.0173015
13, 0.0566829, 0.0173015
14, 0.0516837, 0.0172778
15, 0.0642224, 0.0171612
16, 0.066501, 0.0171549
17, 0.055142, 0.0171549
18, 0.0671597, 0.017043
19, 0.0727067, 0.0170342
20, 0.0598082, 0.0170342
21, 0.0714961, 0.0169218
22, 0.0795356, 0.0169149
23, 0.0648363, 0.0169149
24, 0.0783997, 0.016792
25, 0.0873442, 0.0167891
26, 0.0704877, 0.0167891
27, 0.0896751, 0.0166418
28, 0.0963167, 0.0166723
29, 0.0782353, 0.0166723
30, 0.0994962, 0.0164808
31, 0.10036, 0.0167183
32, 0.0817116, 0.0167183
33, 0.107858, 0.0165258
34, 0.102933, 0.016544
35, 0.0990355, 0.0164479
36, 0.11695, 0.0164479
37, 0.104492, 0.0164479
38, 0.111944, 0.0162847
39, 0.122989, 0.0163689
40, 0.107732, 0.0163689
41, 0.120442, 0.0161591
42, 0.121636, 0.0165013
43, 0.10327, 0.0165013
44, 0.131989, 0.0162971
45, 0.124021, 0.0162971
46, 0.122848, 0.0161777
47, 0.142742, 0.0161883
48, 0.125619, 0.0161883
49, 0.137636, 0.0159888
50, 0.146472, 0.0162139
51, 0.127889, 0.0162139
52, 0.164708, 0.0160007
53, 0.137948, 0.0161869
54, 0.112447, 0.0161247
55, 0.153846, 0.0160806
56, 0.127218, 0.0160806
57, 0.136845, 0.0159375
58, 0.191072, 0.0159628
59, 0.112812, 0.0155546
60, 0.111676, 0.0155546
61, 0.129733, 0.0161548
62, 0.0664873, 0.0171814
63, 0.0658941, 0.0170643
64, 0.0933502, 0.0171752
65, 0.0229438, 0.0168388
66, 0.0251391, 0.0169493
67, 0.0310032, 0.0171166
68, 0.017201, 0.0173997
69, 0.0155326, 0.0174034
70, 0.0122786, 0.0173674
71, 0.00743258, 0.0173133
72, 0.00815977, 0.0173542
73, 0.00316144, 0.0174865
74, 0.00190657, 0.0174883
75, 0.00153791, 0.0174846
76, 0.000858523, 0.0174774
77, 0.000954809, 0.0174825
78, 0.000330626, 0.0174987
79, 0.000182562, 0.017499
80, 0.000146727, 0.0174986
81, 7.79418e-05, 0.0174979
82, 8.77103e-05, 0.0174984
83, 3.03184e-05, 0.0174999
84, 1.70159e-05, 0.0174999
85, 1.34691e-05, 0.0174999
86, 7.42296e-06, 0.0174998
87, 8.36155e-06, 0.0174998
88, 2.89587e-06, 0.0175
89, 1.64185e-06, 0.0175
90, 1.29803e-06, 0.0175
91, 6.93259e-07, 0.0175
92, 7.84353e-07, 0.0175
93, 2.64985e-07, 0.0175
94, 1.41271e-07, 0.0175
95, 1.12331e-07, 0.0175
96, 5.98186e-08, 0.0175
97, 6.8201e-08, 0.0175
98, 2.36437e-08, 0.0175
