No, norm, delta_time
1, 0.042871, 0.0175
2, 0.0441227, 0.0174912
3, 0.045846, 0.0174847
4, 0.0471651, 0.0174932
5, 0.0475341, 0.0174945
6, 0.0470325, 0.017496
7, 0.0472601, 0.0174987
8, 0.0510914, 0.0174987
9, 0.0523431, 0.0174993
10, 0.0497546, 0.0174993
11, 0.0489833, 0.0174996
12, 0.0539159, 0.0174996
13, 0.0572833, 0.0174997
14, 0.0532609, 0.0174998
15, 0.0508642, 0.0174998
16, 0.0559839, 0.0174998
17, 0.0600649, 0.0174998
18, 0.0564305, 0.0174999
19, 0.0544714, 0.0174999
20, 0.0583393, 0.0174999
21, 0.0601101, 0.0174999
22, 0.0596303, 0.0175
23, 0.0598256, 0.0175
24, 0.0592612, 0.0175
25, 0.0592305, 0.0175
26, 0.0626352, 0.0175
27, 0.0639641, 0.0175
28, 0.0598841, 0.0175
29, 0.0592239, 0.0175
30, 0.0648348, 0.0175
31, 0.0654692, 0.0175
32, 0.0602099, 0.0175
33, 0.0613742, 0.0175
34, 0.066061, 0.0175
35, 0.0634403, 0.0175
36, 0.0597438, 0.0175
37, 0.0646622, 0.0175
38, 0.0661348, 0.0175
39, 0.0602246, 0.0175
40, 0.0595255, 0.0175
41, 0.0663855, 0.0175
42, 0.0633409, 0.0175
43, 0.0590717, 0.0175
44, 0.0621441, 0.0175
45, 0.0614885, 0.0175
46, 0.0535019, 0.0175
47, 0.0576111, 0.0175
48, 0.067766, 0.0175
49, 0.0533037, 0.0175
50, 0.0419325, 0.0175
51, 0.0494885, 0.0175
52, 0.0568444, 0.0175
53, 0.0513684, 0.0175
54, 0.0348139, 0.0175
55, 0.0125833, 0.0174999
56, 0.00854938, 0.0175
57, 0.00280618, 0.0175
58, 0.000910345, 0.0175
59, 0.000290509, 0.0175
60, 9.87961e-05, 0.0175
61, 3.7153e-05, 0.0175
62, 1.28826e-05, 0.0175
63, 5.23792e-06, 0.0175
64, 1.88047e-06, 0.0175
65, 6.47181e-07, 0.0175
66, 2.23857e-07, 0.0175
67, 7.66984e-08, 0.0175
68, 2.48052e-08, 0.0175
