No, norm, delta_time
1, 0.153434, 0.02
2, 0.166129, 0.0198462
3, 0.178215, 0.019794
4, 0.189185, 0.0198282
5, 0.197081, 0.0198679
6, 0.199121, 0.0198543
7, 0.197213, 0.0198004
8, 0.202194, 0.0196827
9, 0.232829, 0.0194951
10, 0.266088, 0.0193652
11, 0.26519, 0.0194817
12, 0.249249, 0.0194248
13, 0.265671, 0.0192604
14, 0.321811, 0.0190524
15, 0.338315, 0.0192729
16, 0.305056, 0.0192337
17, 0.331296, 0.0190479
18, 0.408177, 0.018916
19, 0.387683, 0.0191387
20, 0.369621, 0.0189973
21, 0.474964, 0.018877
22, 0.450712, 0.0193243
23, 0.440783, 0.0191646
24, 0.562204, 0.0194732
25, 0.340258, 0.0196349
26, 0.0264869, 0.0197023
27, 0.0107719, 0.0199753
28, 0.00827136, 0.0199722
29, 0.00638475, 0.0199609
30, 0.00237821, 0.0199467
31, 0.00246526, 0.0199667
32, 0.000398216, 0.0199989
33, 0.000323188, 0.0199995
34, 3.41277e-05, 0.0199994
35, 2.72107e-05, 0.0199994
36, 2.47436e-05, 0.0199997
37, 2.99967e-06, 0.02
38, 2.24493e-06, 0.02
39, 2.17164e-07, 0.02
40, 1.54341e-07, 0.02
41, 1.35098e-07, 0.02
