No, norm, delta_time
1, 0.210972, 0.0275
2, 0.24708, 0.0267144
3, 0.31855, 0.025688
4, 0.398428, 0.0247042
5, 0.446055, 0.0241705
6, 0.464455, 0.0242101
7, 0.479927, 0.0242941
8, 0.487407, 0.0243642
9, 0.48577, 0.0244195
10, 0.500271, 0.0244633
11, 0.553006, 0.0240061
12, 0.612816, 0.0235173
13, 0.664339, 0.0231946
14, 0.704528, 0.02311
15, 0.739886, 0.0231867
16, 0.784513, 0.0233021
17, 0.847507, 0.0234411
18, 0.893819, 0.0239479
19, 0.837114, 0.0259945
20, 0.211914, 0.0273132
21, 0.0922536, 0.027101
22, 0.108939, 0.0269958
23, 0.0740527, 0.0267792
24, 0.0985154, 0.0267945
25, 0.0613329, 0.0273825
26, 0.0150699, 0.0272564
27, 0.0027938, 0.027497
28, 0.000470777, 0.027492
29, 6.53475e-05, 0.0275
30, 4.02126e-06, 0.0274999
31, 4.16611e-06, 0.0275
32, 2.01885e-06, 0.0275
33, 4.08989e-07, 0.0275
34, 6.79575e-08, 0.0275
