No, norm, delta_time
1, 0.191793, 0.025
2, 0.21496, 0.0244574
3, 0.24458, 0.0239646
4, 0.276686, 0.0235318
5, 0.3082, 0.0231661
6, 0.337136, 0.0228724
7, 0.363082, 0.0226538
8, 0.389463, 0.0225126
9, 0.426252, 0.022451
10, 0.46491, 0.0224722
11, 0.488302, 0.0225819
12, 0.500081, 0.0226687
13, 0.491672, 0.0226094
14, 0.467843, 0.0223376
15, 0.504969, 0.0216608
16, 0.658966, 0.0205683
17, 0.747197, 0.0204764
18, 0.760748, 0.0219019
19, 0.649003, 0.0218495
20, 0.764377, 0.020957
21, 0.911908, 0.0202776
22, 0.260089, 0.0242194
23, 0.266258, 0.0235473
24, 0.185689, 0.0238114
25, 0.248119, 0.023969
26, 0.114213, 0.0229652
27, 0.135658, 0.0237992
28, 0.0596511, 0.0249238
29, 0.0222218, 0.0247869
30, 0.0179288, 0.0246807
31, 0.000993583, 0.0249933
32, 0.000808433, 0.0249986
33, 0.000291132, 0.0249939
34, 0.00029376, 0.0249975
35, 0.000163183, 0.0249997
36, 2.90752e-05, 0.0249995
37, 2.95833e-05, 0.0249995
38, 1.89184e-06, 0.025
39, 1.24915e-06, 0.025
40, 3.84138e-07, 0.025
41, 2.87953e-08, 0.025
