No, norm, delta_time
1, 0.191793, 0.025
2, 0.235269, 0.0244574
3, 0.38872, 0.0234658
4, 0.801559, 0.0216805
5, 1.61639, 0.0188812
6, 2.80249, 0.0154951
7, 4.22038, 0.0122767
8, 6.09301, 0.00935091
9, 8.77134, 0.00682993
10, 12.4213, 0.00494261
11, 17.2306, 0.00360485
12, 23.0773, 0.00270836
13, 30.2319, 0.00207589
14, 39.1103, 0.0016086
15, 50.1403, 0.00125678
16, 63.8591, 0.000987913
17, 80.9563, 0.000779894
18, 102.301, 0.000617517
19, 128.985, 0.000489954
20, 115.438, 0.000389282
21, 37.4442, 0.00179995
22, 56.4987, 0.000950166
23, 83.7503, 0.00069331
24, 118.617, 0.000512192
25, 164.334, 0.000376778
26, 219.417, 0.000284751
27, 285.223, 0.000220188
28, 365.785, 0.000172184
29, 465.362, 0.000135562
30, 589.138, 0.000107183
31, 743.584, 8.49702e-05
32, 936.778, 6.74704e-05
33, 1176.54, 5.3744e-05
34, 1477.56, 4.27995e-05
35, 1856.22, 3.40686e-05
36, 2332.48, 2.71114e-05
37, 2931.5, 2.15708e-05
38, 2616.03, 1.71369e-05
39, 1152.16, 7.98694e-05
40, 1391.38, 4.16287e-05
41, 1875.69, 3.02748e-05
42, 2653.59, 2.24785e-05
43, 3673.46, 1.67516e-05
44, 4910.68, 1.26652e-05
45, 6375.55, 9.7816e-06
46, 8132.94, 7.6352e-06
47, 10200.9, 6.00035e-06
48, 12501.8, 4.7365e-06
49, 14780.4, 3.74929e-06
50, 16771, 2.97301e-06
51, 19276.5, 2.36003e-06
52, 23850.2, 1.87472e-06
53, 30007.6, 1.48987e-06
54, 37746.3, 1.18444e-06
55, 47472.2, 9.41798e-07
56, 59707.9, 7.48799e-07
57, 75097.6, 5.95347e-07
58, 94452.1, 4.7334e-07
59, 118794, 3.7635e-07
60, 149367, 2.99255e-07
61, 185613, 2.41177e-07
62, 229535, 1.95203e-07
63, 286219, 1.56437e-07
64, 358824, 1.24692e-07
65, 450881, 9.91894e-08
66, 567494, 7.87838e-08
67, 714723, 6.25458e-08
68, 900186, 4.96574e-08
69, 1.13349e+06, 3.94372e-08
70, 1.42679e+06, 3.13314e-08
71, 1.79548e+06, 2.48986e-08
72, 2.25899e+06, 1.97905e-08
73, 2.84176e+06, 1.57323e-08
74, 3.57443e+06, 1.25078e-08
75, 4.49551e+06, 9.94531e-09
76, 5.65416e+06, 7.9073e-09
77, 5.05561e+06, 6.28676e-09
78, 2.23411e+06, 2.90485e-08
79, 2.68642e+06, 1.52944e-08
80, 3.59712e+06, 1.11484e-08
81, 5.08464e+06, 8.28551e-09
82, 7.04369e+06, 6.18254e-09
83, 9.42893e+06, 4.67676e-09
84, 1.22838e+07, 3.61236e-09
85, 1.5787e+07, 2.81973e-09
86, 2.01246e+07, 2.21584e-09
87, 2.55232e+07, 1.74893e-09
88, 3.22681e+07, 1.3842e-09
89, 4.07162e+07, 1.0974e-09
90, 5.13142e+07, 8.70952e-10
91, 6.46224e+07, 6.91688e-10
92, 8.1344e+07, 5.49548e-10
93, 1.02363e+08, 4.3673e-10
94, 1.28789e+08, 3.4713e-10
95, 1.62018e+08, 2.75941e-10
96, 2.03806e+08, 2.19366e-10
97, 2.56359e+08, 1.74398e-10
98, 3.22453e+08, 1.38652e-10
99, 4.05581e+08, 1.10234e-10
100, 5.10132e+08, 8.7642e-11
101, 6.41629e+08, 6.96805e-11
102, 8.07018e+08, 5.54003e-11
103, 1.01504e+09, 4.40468e-11
104, 1.27667e+09, 3.502e-11
105, 1.60574e+09, 2.78432e-11
106, 2.01963e+09, 2.21372e-11
107, 2.54021e+09, 1.76006e-11
108, 3.19496e+09, 1.39936e-11
109, 4.01847e+09, 1.11259e-11
110, 5.05426e+09, 8.84583e-12
111, 6.35702e+09, 7.03303e-12
112, 7.99557e+09, 5.59173e-12
113, 1.00565e+10, 4.44581e-12
114, 1.26486e+10, 3.53472e-12
115, 1.59088e+10, 2.81034e-12
116, 1.42245e+10, 2.23441e-12
117, 6.28594e+09, 1.03242e-11
118, 7.55853e+09, 5.43587e-12
119, 1.01208e+10, 3.96235e-12
120, 1.43061e+10, 2.94481e-12
121, 1.98181e+10, 2.19737e-12
122, 2.65296e+10, 1.66217e-12
123, 3.45627e+10, 1.28385e-12
124, 4.44206e+10, 1.00212e-12
125, 5.66272e+10, 7.8748e-13
126, 7.18199e+10, 6.21527e-13
127, 9.08017e+10, 4.91899e-13
128, 1.14577e+11, 3.89974e-13
129, 1.44401e+11, 3.095e-13
130, 1.81852e+11, 2.45796e-13
131, 2.28908e+11, 1.95286e-13
132, 2.88054e+11, 1.55196e-13
133, 3.62416e+11, 1.23357e-13
134, 4.55921e+11, 9.80595e-14
135, 5.73509e+11, 7.79553e-14
136, 7.21391e+11, 6.19753e-14
137, 9.07379e+11, 4.92724e-14
138, 1.1413e+12, 3.91738e-14
139, 1.4355e+12, 3.11452e-14
140, 1.80553e+12, 2.47623e-14
141, 2.27093e+12, 1.96875e-14
142, 2.85629e+12, 1.56529e-14
143, 3.59252e+12, 1.2445e-14
144, 4.51852e+12, 9.89463e-15
145, 5.6832e+12, 7.86689e-15
146, 7.14807e+12, 6.25471e-15
147, 8.99053e+12, 4.97291e-15
