No, norm, delta_time
1, 0.191793, 0.025
2, 0.221363, 0.0244574
3, 0.276872, 0.0237141
4, 0.326657, 0.0230517
5, 0.354391, 0.0227653
6, 0.379787, 0.0225407
7, 0.423632, 0.0223865
8, 0.482361, 0.0223039
9, 0.514201, 0.022295
10, 0.525903, 0.022295
11, 0.506123, 0.0222278
12, 0.46432, 0.021877
13, 0.580951, 0.0207492
14, 0.854045, 0.0193816
15, 0.986299, 0.0190906
16, 0.819737, 0.0190906
17, 0.881239, 0.0179424
18, 1.17229, 0.0171127
19, 1.17076, 0.0183301
20, 0.910089, 0.0181435
21, 1.29866, 0.0162031
22, 1.25911, 0.0184236
23, 1.04591, 0.0184236
24, 0.748987, 0.0165672
25, 0.75869, 0.0195125
26, 0.47458, 0.0234667
27, 0.538235, 0.0222333
28, 0.657579, 0.0242486
29, 0.165494, 0.022109
30, 0.21653, 0.0231059
31, 0.132261, 0.02427
32, 0.238048, 0.02384
33, 0.13332, 0.0222655
34, 0.136762, 0.0237918
35, 0.0766786, 0.0248931
36, 0.0279068, 0.0246137
37, 0.030223, 0.0244767
38, 0.00181133, 0.0249921
39, 0.00293088, 0.0249921
40, 0.00175941, 0.0249674
41, 0.00249605, 0.0249797
42, 0.00196777, 0.0249988
43, 0.000586153, 0.0249853
44, 0.000665058, 0.0249926
45, 0.000417329, 0.025
46, 0.000203864, 0.0249963
47, 4.73873e-06, 0.0249999
48, 1.74932e-06, 0.025
49, 3.37242e-06, 0.025
50, 2.51946e-06, 0.025
51, 9.44127e-09, 0.025
