No, norm, delta_time
1, 0.191793, 0.025
2, 0.225454, 0.0244574
3, 0.28467, 0.0237184
4, 0.355597, 0.0230128
5, 0.424175, 0.0224745
6, 0.48602, 0.0221028
7, 0.541617, 0.0218586
8, 0.593276, 0.0216989
9, 0.643372, 0.0215913
10, 0.69312, 0.0215234
11, 0.742202, 0.0215049
12, 0.789402, 0.0215603
13, 0.833724, 0.0217178
14, 0.875, 0.0220051
15, 0.913545, 0.0224574
16, 0.949192, 0.023139
17, 0.962799, 0.0237456
18, 0.899487, 0.0239478
19, 0.707897, 0.0239408
20, 0.597944, 0.0240813
21, 0.821763, 0.0239384
22, 0.669467, 0.0220679
23, 0.611614, 0.0243211
24, 0.527732, 0.0222502
25, 0.508034, 0.0242031
26, 0.461567, 0.0221806
27, 0.443373, 0.0241385
28, 0.41171, 0.022247
29, 0.394792, 0.0241505
30, 0.371149, 0.0223768
31, 0.355585, 0.0241954
32, 0.336606, 0.0225305
33, 0.321992, 0.0242555
34, 0.305484, 0.0226944
35, 0.291125, 0.0243253
36, 0.275507, 0.0228685
37, 0.260742, 0.0244031
38, 0.244995, 0.0230582
39, 0.229467, 0.0244874
40, 0.213189, 0.0232679
41, 0.196981, 0.0245747
42, 0.180359, 0.0234966
43, 0.163973, 0.0246605
44, 0.14761, 0.0237375
45, 0.131794, 0.0247398
46, 0.116461, 0.0239786
47, 0.101986, 0.0248087
48, 0.0883723, 0.0242064
49, 0.0758421, 0.0248652
50, 0.0644008, 0.024409
51, 0.0541398, 0.0249089
52, 0.0450341, 0.0245786
53, 0.0370777, 0.024941
54, 0.0302083, 0.0247124
55, 0.0243593, 0.0249633
56, 0.019441, 0.0248121
57, 0.0153585, 0.0249781
58, 0.0120117, 0.0248823
59, 0.00930146, 0.0249874
60, 0.00713313, 0.0249293
61, 0.00541832, 0.024993
62, 0.00407776, 0.0249592
63, 0.00304116, 0.0249963
64, 0.00224826, 0.0249773
65, 0.00164794, 0.0249981
66, 0.001198, 0.0249878
67, 0.000863973, 0.024999
68, 0.000618296, 0.0249937
69, 0.000439194, 0.0249995
70, 0.000309741, 0.0249968
71, 0.000216935, 0.0249998
72, 0.000150925, 0.0249984
73, 0.000104327, 0.0249999
74, 7.1669e-05, 0.0249993
75, 4.894e-05, 0.025
76, 3.32264e-05, 0.0249997
77, 2.24324e-05, 0.025
78, 1.50634e-05, 0.0249998
79, 1.00624e-05, 0.025
80, 6.68776e-06, 0.0249999
81, 4.42315e-06, 0.025
82, 2.9115e-06, 0.025
83, 1.90763e-06, 0.025
84, 1.24428e-06, 0.025
85, 8.08044e-07, 0.025
86, 5.22509e-07, 0.025
87, 3.36461e-07, 0.025
88, 2.1577e-07, 0.025
89, 1.37816e-07, 0.025
