No, norm, delta_time
1, 0.191793, 0.025
2, 0.219798, 0.0244574
3, 0.269844, 0.0237682
4, 0.320724, 0.0231505
5, 0.346441, 0.0229022
6, 0.347395, 0.023097
7, 0.341906, 0.0235264
8, 0.33859, 0.0238927
9, 0.34486, 0.0242055
10, 0.362873, 0.0241946
11, 0.391021, 0.0239741
12, 0.430609, 0.0237128
13, 0.470051, 0.0235821
14, 0.499341, 0.0235828
15, 0.518211, 0.0235816
16, 0.53287, 0.023562
17, 0.542192, 0.0234709
18, 0.53754, 0.0231959
19, 0.664118, 0.0224987
20, 0.834839, 0.0217979
21, 0.139384, 0.0248913
22, 0.0502494, 0.024797
23, 0.0271868, 0.0248873
24, 0.021111, 0.0248222
25, 0.0106491, 0.0248202
26, 0.000530274, 0.0249974
27, 0.0007155, 0.0249948
28, 0.00029155, 0.0249948
29, 8.81808e-07, 0.025
30, 9.91708e-09, 0.025
