No, norm, delta_time
1, 0.0612443, 0.025
2, 0.0637847, 0.0248491
3, 0.0673963, 0.0247014
4, 0.0713364, 0.024558
5, 0.0759918, 0.0244195
6, 0.0809551, 0.0242867
7, 0.0859084, 0.0241601
8, 0.0905767, 0.0240401
9, 0.0949524, 0.0239272
10, 0.100379, 0.0238217
11, 0.111793, 0.0237236
12, 0.127698, 0.0236331
13, 0.138081, 0.0235501
14, 0.145651, 0.0234747
15, 0.153655, 0.0234065
16, 0.159583, 0.0233455
17, 0.162041, 0.0232915
18, 0.162716, 0.0232441
19, 0.16215, 0.0232031
20, 0.160019, 0.0231682
21, 0.158937, 0.0231391
22, 0.169366, 0.0231155
23, 0.201903, 0.0230971
24, 0.23033, 0.0230837
25, 0.240335, 0.0230749
26, 0.23788, 0.0230705
27, 0.230459, 0.0230703
28, 0.217244, 0.023074
29, 0.210351, 0.0230744
30, 0.236932, 0.023071
31, 0.296519, 0.0230581
32, 0.322746, 0.0227561
33, 0.310824, 0.0229212
34, 0.284208, 0.0227682
35, 0.268094, 0.022412
36, 0.273968, 0.0217788
37, 0.308159, 0.0213663
38, 0.349239, 0.0213752
39, 0.358894, 0.0215427
40, 0.343954, 0.0216287
41, 0.372168, 0.021566
42, 0.275098, 0.0212713
43, 0.293856, 0.021304
44, 0.298763, 0.0214449
45, 0.278263, 0.0218218
46, 0.227024, 0.024093
47, 0.187808, 0.0239718
48, 0.217975, 0.023631
49, 0.221335, 0.0228892
50, 0.166018, 0.0219671
51, 0.0776504, 0.0244947
52, 0.0862943, 0.0244328
53, 0.0441925, 0.0242855
54, 0.0444969, 0.0242717
55, 0.0188295, 0.0248217
56, 0.0273791, 0.0248256
57, 0.0149791, 0.0246162
58, 0.0186202, 0.0247834
59, 0.0111838, 0.0249919
60, 0.00221173, 0.0249256
61, 0.00150106, 0.0249734
62, 0.000475241, 0.0249986
63, 0.000153374, 0.024997
64, 0.000144396, 0.0249961
65, 0.000168418, 0.0249981
66, 0.000111503, 0.025
67, 3.49969e-05, 0.0249991
68, 1.95085e-06, 0.025
69, 6.73593e-07, 0.025
70, 1.30935e-07, 0.025
71, 7.02917e-08, 0.025
72, 2.42899e-08, 0.025
