No, norm, delta_time
1, 0.061482, 0.025
2, 0.0662517, 0.0248491
3, 0.0898302, 0.0245541
4, 0.180378, 0.0239303
5, 0.43044, 0.0226092
6, 0.969166, 0.0201227
7, 1.82952, 0.0165583
8, 2.85256, 0.0129783
9, 4.06364, 0.00996554
10, 5.77885, 0.00733678
11, 8.28315, 0.00520668
12, 11.8469, 0.00368245
13, 16.5003, 0.00266341
14, 22.191, 0.0019909
15, 29.2338, 0.00151673
16, 38.1122, 0.00116593
17, 49.2781, 0.000903095
18, 63.303, 0.000703793
19, 80.9262, 0.000550983
20, 103.075, 0.000432856
21, 130.914, 0.000340969
22, 165.91, 0.000269145
23, 209.906, 0.000212791
24, 265.222, 0.000168446
25, 334.776, 0.000133472
26, 422.237, 0.000105838
27, 532.221, 8.39752e-05
28, 670.533, 6.66587e-05
29, 844.475, 5.29318e-05
30, 1063.23, 4.20433e-05
31, 1338.35, 3.34019e-05
32, 1684.36, 2.6541e-05
33, 2119.53, 2.10922e-05
34, 2666.86, 1.67637e-05
35, 3355.23, 1.33246e-05
36, 4221.02, 1.05916e-05
37, 5309.95, 8.41964e-06
38, 6679.53, 6.6933e-06
39, 8402.1, 5.32109e-06
40, 10568.7, 4.23029e-06
41, 9450.37, 3.36316e-06
42, 4173.87, 1.55305e-05
43, 5018.66, 8.18612e-06
44, 6719.84, 5.9675e-06
45, 9498.19, 4.4352e-06
46, 13157.8, 3.3096e-06
47, 17613.4, 2.50357e-06
48, 22946.6, 1.93376e-06
49, 29491, 1.50943e-06
50, 37594.5, 1.18615e-06
51, 47680.3, 9.36197e-07
52, 60281.3, 7.40949e-07
53, 76064.1, 5.87425e-07
54, 95863.1, 4.66209e-07
55, 120724, 3.70253e-07
56, 151962, 2.94169e-07
57, 191226, 2.33781e-07
58, 240590, 1.8582e-07
59, 302662, 1.47714e-07
60, 380722, 1.1743e-07
61, 478891, 9.33582e-08
62, 602357, 7.42229e-08
63, 757640, 5.90107e-08
64, 952943, 4.69167e-08
65, 1.19858e+06, 3.73016e-08
66, 1.50753e+06, 2.96571e-08
67, 1.89612e+06, 2.35793e-08
68, 2.38486e+06, 1.87471e-08
69, 2.99957e+06, 1.49052e-08
70, 3.77273e+06, 1.18506e-08
71, 4.74517e+06, 9.42203e-09
72, 5.96826e+06, 7.49115e-09
73, 7.50661e+06, 5.95597e-09
74, 9.44147e+06, 4.7354e-09
75, 1.18751e+07, 3.76496e-09
76, 1.49359e+07, 2.9934e-09
77, 1.87857e+07, 2.37995e-09
78, 2.36278e+07, 1.89222e-09
79, 2.9718e+07, 1.50445e-09
80, 2.65718e+07, 1.19614e-09
81, 1.17423e+07, 5.52682e-09
82, 1.41195e+07, 2.90996e-09
83, 1.89059e+07, 2.12115e-09
84, 2.67241e+07, 1.57643e-09
85, 3.70207e+07, 1.17631e-09
86, 4.95578e+07, 8.89805e-10
87, 6.45639e+07, 6.87277e-10
88, 8.29787e+07, 5.3646e-10
89, 1.05781e+08, 4.21558e-10
90, 1.34161e+08, 3.32719e-10
91, 1.6962e+08, 2.63326e-10
92, 2.14031e+08, 2.08763e-10
93, 2.69745e+08, 1.65683e-10
94, 3.39704e+08, 1.31581e-10
95, 4.27605e+08, 1.04541e-10
96, 5.38092e+08, 8.30805e-11
97, 6.77001e+08, 6.6036e-11
98, 8.51671e+08, 5.24938e-11
99, 1.07133e+09, 4.17314e-11
100, 1.34757e+09, 3.3177e-11
101, 1.695e+09, 2.63768e-11
102, 2.13197e+09, 2.09707e-11
103, 2.68154e+09, 1.66728e-11
104, 3.37277e+09, 1.32559e-11
105, 4.24215e+09, 1.05392e-11
106, 5.33561e+09, 8.37938e-12
107, 6.71091e+09, 6.66215e-12
108, 8.44069e+09, 5.29685e-12
109, 1.06163e+10, 4.21135e-12
110, 1.33528e+10, 3.3483e-12
