No, norm, delta_time
1, 0.0612443, 0.025
2, 0.0646899, 0.0248491
3, 0.0717712, 0.0246277
4, 0.0792109, 0.0244124
5, 0.0839162, 0.0242808
6, 0.088648, 0.0241549
7, 0.0928492, 0.0240355
8, 0.101276, 0.0239231
9, 0.122074, 0.0238178
10, 0.140168, 0.02372
11, 0.145776, 0.0236295
12, 0.158149, 0.0235466
13, 0.165223, 0.0234709
14, 0.163802, 0.0234026
15, 0.162312, 0.0233412
16, 0.169663, 0.0232867
17, 0.217252, 0.0232388
18, 0.258791, 0.0231972
19, 0.292028, 0.0231129
20, 0.284693, 0.0229347
21, 0.265419, 0.0231348
22, 0.303859, 0.0231114
23, 0.34134, 0.0230947
24, 0.358568, 0.0230828
25, 0.396691, 0.0219172
26, 0.352001, 0.0221417
27, 0.35141, 0.0229071
28, 0.402834, 0.0224889
29, 0.416441, 0.021617
30, 0.462131, 0.0209747
31, 0.408295, 0.0212602
32, 0.404888, 0.0216351
33, 0.426582, 0.0219749
34, 0.469279, 0.0219749
35, 0.476706, 0.0212926
36, 0.459655, 0.0206626
37, 0.502685, 0.0200158
38, 0.451319, 0.02066
39, 0.466347, 0.0211983
40, 0.429206, 0.0211983
41, 0.435583, 0.0207801
42, 0.526961, 0.019652
43, 0.641589, 0.0193536
44, 0.450183, 0.0172128
45, 0.566737, 0.0191997
46, 0.589725, 0.0203923
47, 0.60901, 0.0203923
48, 0.379705, 0.019641
49, 0.443649, 0.019384
50, 0.536337, 0.0208639
51, 0.370619, 0.0240201
52, 0.363712, 0.0240201
53, 0.305522, 0.0233672
54, 0.30877, 0.0216325
55, 0.243587, 0.0224585
56, 0.353608, 0.022835
57, 0.270009, 0.0205683
58, 0.317629, 0.0215831
59, 0.210376, 0.0230109
60, 0.331606, 0.0231893
61, 0.181162, 0.0207884
62, 0.228279, 0.0221839
63, 0.132069, 0.0238936
64, 0.230187, 0.0236233
65, 0.135499, 0.0216502
66, 0.176267, 0.0228098
67, 0.0837914, 0.0247372
68, 0.0800262, 0.0242291
69, 0.0606139, 0.023422
70, 0.0148029, 0.0248182
71, 0.0114369, 0.0249779
72, 0.00430408, 0.0248719
73, 0.00589884, 0.024914
74, 0.0036861, 0.0249685
75, 0.00702287, 0.0249482
76, 0.00524857, 0.024865
77, 0.000407168, 0.0249954
78, 0.000362997, 0.0249998
79, 0.000164007, 0.0249954
80, 4.74317e-05, 0.0249994
81, 3.53516e-05, 0.0249997
82, 6.74443e-05, 0.0249995
83, 5.09064e-05, 0.0249987
84, 2.58177e-06, 0.025
85, 2.3513e-06, 0.025
86, 1.14876e-06, 0.025
87, 9.32787e-08, 0.025
88, 8.01489e-08, 0.025
89, 3.3088e-08, 0.025
