No, norm, delta_time
1, 0.0612443, 0.025
2, 0.0649965, 0.0248491
3, 0.0724298, 0.0246331
4, 0.0822511, 0.0244121
5, 0.0933357, 0.0242256
6, 0.104935, 0.0240823
7, 0.116356, 0.0239832
8, 0.126834, 0.0239248
9, 0.135835, 0.0238985
10, 0.14325, 0.0238934
11, 0.149235, 0.0238997
12, 0.15401, 0.0239112
13, 0.157779, 0.0239256
14, 0.160709, 0.0239434
15, 0.162922, 0.0239667
16, 0.164496, 0.0239981
17, 0.165493, 0.024041
18, 0.166031, 0.0241003
19, 0.166428, 0.024182
20, 0.167244, 0.0242461
21, 0.170086, 0.0242957
22, 0.178386, 0.0243652
23, 0.193939, 0.0242969
24, 0.213299, 0.0239806
25, 0.232452, 0.0237354
26, 0.249452, 0.0235704
27, 0.263638, 0.0234701
28, 0.275184, 0.023413
29, 0.284644, 0.0233795
30, 0.29291, 0.0233531
31, 0.300931, 0.0233174
32, 0.309759, 0.023259
33, 0.320066, 0.0231757
34, 0.331113, 0.0230872
35, 0.340219, 0.0230287
36, 0.347461, 0.0230191
37, 0.35273, 0.0230507
38, 0.409905, 0.0231027
39, 0.416008, 0.0214847
40, 0.391593, 0.0236086
41, 0.368448, 0.0215869
42, 0.341858, 0.0238861
43, 0.316124, 0.0219089
44, 0.295516, 0.0240527
45, 0.274174, 0.0222014
46, 0.257639, 0.0241713
47, 0.240634, 0.0224634
48, 0.226983, 0.0242669
49, 0.213382, 0.0226976
50, 0.201959, 0.0243475
51, 0.190925, 0.022905
52, 0.181303, 0.0244161
53, 0.172205, 0.0230871
54, 0.164063, 0.0244742
55, 0.156449, 0.0232459
56, 0.149526, 0.0245232
57, 0.143075, 0.0233841
58, 0.137154, 0.0245646
59, 0.131629, 0.0235045
60, 0.126529, 0.0245997
61, 0.121754, 0.0236097
62, 0.117327, 0.0246298
63, 0.113167, 0.0237021
64, 0.109293, 0.0246559
65, 0.10564, 0.0237838
66, 0.102224, 0.0246787
67, 0.0989922, 0.0238566
68, 0.0959567, 0.0246989
69, 0.093078, 0.0239217
70, 0.0903621, 0.0247168
71, 0.0877812, 0.0239805
72, 0.0853363, 0.0247329
73, 0.0830087, 0.0240337
74, 0.080796, 0.0247474
75, 0.0786863, 0.0240821
76, 0.0766746, 0.0247606
77, 0.074754, 0.0241263
78, 0.0729182, 0.0247726
79, 0.0711632, 0.0241669
80, 0.0694823, 0.0247835
81, 0.0678734, 0.0242042
82, 0.0663296, 0.0247935
83, 0.0648501, 0.0242386
84, 0.0634279, 0.0248027
85, 0.062063, 0.0242705
86, 0.0607484, 0.0248112
