No, norm, delta_time
1, 0.0612443, 0.025
2, 0.0644549, 0.0248491
3, 0.0706867, 0.0246444
4, 0.0780532, 0.0244379
5, 0.0827294, 0.0243372
6, 0.085819, 0.0243671
7, 0.0895404, 0.0243955
8, 0.0913987, 0.0244222
9, 0.092513, 0.0244471
10, 0.093593, 0.0244703
11, 0.0932042, 0.024492
12, 0.0927014, 0.0245124
13, 0.0917505, 0.0245318
14, 0.0902762, 0.0245502
15, 0.0916998, 0.0245678
16, 0.0940332, 0.0245847
17, 0.093863, 0.0245847
18, 0.0944127, 0.0245844
19, 0.0945544, 0.0245832
20, 0.0949734, 0.02458
21, 0.0967002, 0.0245782
22, 0.0974554, 0.0245778
23, 0.0989022, 0.0245777
24, 0.10106, 0.0245768
25, 0.101059, 0.024574
26, 0.103188, 0.0245676
27, 0.0991208, 0.0245544
28, 0.101496, 0.0245396
29, 0.10449, 0.0245266
30, 0.10982, 0.0245159
31, 0.0974494, 0.0245067
32, 0.097729, 0.0244862
33, 0.0968554, 0.0244405
34, 0.100773, 0.0243319
35, 0.0993499, 0.0240635
36, 0.113403, 0.0237162
37, 0.111131, 0.0237405
38, 0.129143, 0.0237822
39, 0.134996, 0.0238201
40, 0.125739, 0.0238197
41, 0.123716, 0.0238146
42, 0.104535, 0.0237965
43, 0.107091, 0.0237959
44, 0.0642127, 0.0244464
45, 0.0645655, 0.0244917
46, 0.0200046, 0.0244466
47, 0.00730172, 0.0249121
48, 0.00323464, 0.0249922
49, 0.00049976, 0.0249921
50, 0.000483567, 0.0249921
51, 0.000136024, 0.0249999
52, 1.94153e-05, 0.0249999
53, 4.90916e-06, 0.0249999
54, 9.10534e-10, 0.025
