No, norm, delta_time
1, 0.09128, 0.025
2, 0.0923708, 0.025
3, 0.0935009, 0.025
4, 0.0946727, 0.025
5, 0.095889, 0.025
6, 0.0971525, 0.025
7, 0.0984663, 0.025
8, 0.099834, 0.025
9, 0.101259, 0.025
10, 0.102746, 0.025
11, 0.1043, 0.025
12, 0.105924, 0.025
13, 0.107626, 0.025
14, 0.109411, 0.025
15, 0.111287, 0.025
16, 0.11326, 0.025
17, 0.11534, 0.025
18, 0.117538, 0.025
19, 0.119863, 0.025
20, 0.12233, 0.025
21, 0.124952, 0.025
22, 0.127747, 0.025
23, 0.130734, 0.025
24, 0.133936, 0.025
25, 0.137379, 0.025
26, 0.141096, 0.025
27, 0.145122, 0.025
28, 0.149502, 0.025
29, 0.154289, 0.025
30, 0.159548, 0.025
31, 0.165357, 0.025
32, 0.171813, 0.025
33, 0.179036, 0.025
34, 0.187176, 0.025
35, 0.196415, 0.025
36, 0.20698, 0.025
37, 0.219121, 0.025
38, 0.23306, 0.025
39, 0.248708, 0.025
40, 0.264445, 0.025
41, 0.270396, 0.025
42, 0.210781, 0.025
43, 0.0517908, 0.025
44, 0.001644, 0.025
45, 1.37811e-06, 0.025
46, 9.49796e-13, 0.025
