#         X        RHO/RHOINF  U/AINF      P/(GAMMA*PINF)
      0.20725     0.81140     0.00000     0.69343
      0.21522     0.81140     0.00000     0.69343
      0.22319     0.81140     0.00000     0.69343
      0.23116     0.81140     0.00000     0.69343
      0.23912     0.81140     0.00000     0.69343
      0.24709     0.81140     0.00000     0.69343
      0.25506     0.81140     0.00000     0.69343
      0.26303     0.81140     0.00000     0.69343
      0.27099     0.81140     0.00000     0.69343
      0.27896     0.81140     0.00000     0.69343
      0.28693     0.81140     0.00000     0.69343
      0.29490     0.81140     0.00000     0.69343
      0.30286     0.81140     0.00000     0.69343
      0.31083     0.81140     0.00000     0.69343
      0.31880     0.81140     0.00000     0.69343
      0.32676     0.81900     0.00000     0.70162
      0.33473     0.83408     0.00000     0.71838
      0.34270     0.85302     0.00000     0.74273
      0.35067     0.87372     0.02099     0.77324
      0.35863     0.90324     0.05635     0.80861
      0.36660     0.93589     0.09406     0.84782
      0.37457     0.97088     0.13319     0.89016
      0.38254     1.00774     0.17312     0.93518
      0.39050     1.04615     0.21346     0.98261
      0.39847     1.08589     0.25398     1.03233
      0.40644     1.12684     0.29452     1.08425
      0.41440     1.16893     0.33499     1.13837
      0.42237     1.21211     0.37535     1.19469
      0.43034     1.25637     0.41557     1.25323
      0.43831     1.30173     0.45567     1.31401
      0.44627     1.34824     0.49564     1.37705
      0.45424     1.39600     0.53549     1.44241
      0.46221     1.44511     0.57518     1.51019
      0.47018     1.49574     0.61469     1.58054
      0.47814     1.54801     0.65398     1.65360
      0.48611     1.60200     0.69307     1.72947
      0.49408     1.65768     0.73199     1.80819
      0.50204     1.71495     0.77078     1.88975
      0.51001     1.77368     0.80946     1.97416
      0.51798     1.83375     0.84803     2.06151
      0.52595     1.89507     0.88641     2.15198
      0.53391     1.95758     0.92457     2.24575
      0.54188     2.02119     0.96246     2.34296
      0.54985     2.08578     1.00009     2.44363
      0.55782     2.15120     1.03752     2.54762
      0.56578     2.21730     1.07482     2.65466
      0.57375     2.28409     1.11199     2.76460
      0.58172     2.35176     1.14899     2.87744
      0.58968     2.42079     1.18563     2.99350
      0.59765     2.49209     1.22156     3.11368
      0.60562     2.56461     1.25735     3.23548
      0.61359     2.63925     1.29228     3.35960
      0.62155     2.70471     1.32882     3.46510
      0.62952     2.73619     1.35167     3.50643
      0.63749     2.49545     1.31497     3.03197
      0.64546     1.79948     0.87846     1.77727
      0.65342     1.14065     0.16107     0.85282
      0.66139     1.00681     0.00726     0.72023
      0.66936     1.00024     0.00025     0.71449
      0.67732     1.00001     0.00001     0.71429
      0.68529     1.00000     0.00000     0.71429
      0.69326     1.00000     0.00000     0.71429
      0.70123     1.00000     0.00000     0.71429
      0.70919     1.00000     0.00000     0.71429
      0.71716     1.00000     0.00000     0.71429
      0.72513     1.00000     0.00000     0.71429
      0.73310     1.00000     0.00000     0.71429
      0.74106     1.00000     0.00000     0.71429
      0.74903     1.00000     0.00000     0.71429
      0.75700     1.00000     0.00000     0.71429
      0.76496     1.00000     0.00000     0.71429
      0.77293     1.00000     0.00000     0.71429
      0.78090     1.00000     0.00000     0.71429
      0.78887     1.00000     0.00000     0.71429
      0.79683     1.00000     0.00000     0.71429
      0.80480     1.00000     0.00000     0.71429
      0.81277     1.00000     0.00000     0.71429
      0.82074     1.00000     0.00000     0.71429
      0.82870     1.00000     0.00000     0.71429
      0.83667     1.00000     0.00000     0.71429
      0.84464     1.00000     0.00000     0.71429
      0.85260     1.00000     0.00000     0.71429
      0.86057     1.00000     0.00000     0.71429
      0.86854     1.00000     0.00000     0.71429
      0.87651     1.00000     0.00000     0.71429
      0.88447     1.00000     0.00000     0.71429
      0.89244     1.00000     0.00000     0.71429
      0.90041     1.00000     0.00000     0.71429
      0.90838     1.00000     0.00000     0.71429
      0.91634     1.00000     0.00000     0.71429
      0.92431     1.00000     0.00000     0.71429
      0.93228     1.00000     0.00000     0.71429
      0.94024     1.00000     0.00000     0.71429
      0.94821     1.00000     0.00000     0.71429
      0.95618     1.00000     0.00000     0.71429
      0.96415     1.00000     0.00000     0.71429
      0.97211     1.00000     0.00000     0.71429
      0.98008     1.00000     0.00000     0.71429
      0.98805     1.00000     0.00000     0.71429
      0.99602     1.00000     0.00000     0.71429
