No, norma, norm_delta_time, elapsed_norm_time
0, 44.9576, 0.00185797, 0
1, 2.7307, 0.00185797, 0.00185797
2, 2.57716, 0.00186625, 0.00372422
3, 2.45207, 0.00185504, 0.00557926
4, 2.34998, 0.0018519, 0.00743116
5, 2.27902, 0.00185519, 0.00928634
6, 2.21879, 0.00186244, 0.0111488
7, 2.16875, 0.00186796, 0.0130167
8, 2.11728, 0.00186901, 0.0148858
9, 2.07753, 0.00187447, 0.0167602
10, 2.04488, 0.00188284, 0.0186431
11, 2.01704, 0.00189315, 0.0205362
12, 1.99469, 0.00190482, 0.022441
13, 1.97425, 0.00191745, 0.0243585
14, 1.95727, 0.00193026, 0.0262888
15, 1.93443, 0.00193636, 0.0282251
16, 1.91202, 0.00194093, 0.030166
17, 1.89053, 0.00194485, 0.0321109
18, 1.87253, 0.00195168, 0.0340626
19, 1.85134, 0.00195319, 0.0360158
20, 1.83375, 0.00195827, 0.037974
21, 1.81669, 0.00196231, 0.0399363
22, 1.7992, 0.00196531, 0.0419017
23, 1.78519, 0.00197137, 0.043873
24, 1.76845, 0.00197327, 0.0458463
25, 1.75391, 0.0019775, 0.0478238
26, 1.74106, 0.00198239, 0.0498062
27, 1.72592, 0.00198453, 0.0517907
28, 1.71417, 0.00198979, 0.0537805
29, 1.70085, 0.00199262, 0.0557731
30, 1.6882, 0.00199606, 0.0577692
31, 1.67832, 0.00200188, 0.0597711
32, 1.66477, 0.0020033, 0.0617744
33, 1.65443, 0.00200786, 0.0637822
34, 1.6436, 0.00201155, 0.0657938
35, 1.63227, 0.00201437, 0.0678081
36, 1.62364, 0.00201988, 0.069828
37, 1.61205, 0.00202175, 0.0718498
38, 1.60271, 0.00202575, 0.0738755
39, 1.59362, 0.00203001, 0.0759055
40, 1.58331, 0.00203237, 0.0779379
41, 1.57541, 0.0020374, 0.0799753
42, 1.5654, 0.00203974, 0.082015
43, 1.55684, 0.00204335, 0.0840584
44, 1.54893, 0.00204787, 0.0861063
45, 1.53946, 0.00204994, 0.0881562
46, 1.53216, 0.00205463, 0.0902108
47, 1.52327, 0.00205718, 0.092268
48, 1.51536, 0.00206054, 0.0943285
49, 1.50825, 0.00206509, 0.0963936
50, 1.49951, 0.00206699, 0.0984606
51, 1.49272, 0.00207145, 0.100532
52, 1.48462, 0.00207402, 0.102606
53, 1.47728, 0.00207722, 0.104683
54, 1.47074, 0.00208167, 0.106765
55, 1.46263, 0.00208348, 0.108848
56, 1.45631, 0.0020878, 0.110936
57, 1.44878, 0.00209026, 0.113027
58, 1.44194, 0.00209338, 0.11512
59, 1.43579, 0.00209762, 0.117218
60, 1.42825, 0.00209941, 0.119317
61, 1.42235, 0.00210364, 0.121421
62, 1.41526, 0.00210593, 0.123526
63, 1.40886, 0.00210901, 0.125635
64, 1.40301, 0.002113, 0.127748
65, 1.39598, 0.0021148, 0.129863
66, 1.39046, 0.002119, 0.131982
67, 1.3837, 0.00212106, 0.134103
68, 1.37771, 0.00212415, 0.136228
69, 1.37209, 0.00212785, 0.138355
70, 1.36551, 0.0021297, 0.140485
71, 1.36035, 0.00213389, 0.142619
72, 1.35386, 0.00213571, 0.144755
73, 1.34823, 0.00213882, 0.146893
74, 1.34281, 0.00214224, 0.149036
75, 1.33663, 0.00214415, 0.15118
76, 1.3318, 0.00214833, 0.153328
77, 1.32553, 0.00214992, 0.155478
78, 1.32024, 0.00215307, 0.157631
79, 1.31498, 0.0021562, 0.159787
80, 1.30917, 0.00215818, 0.161946
81, 1.30464, 0.00216238, 0.164108
82, 1.29857, 0.00216373, 0.166272
83, 1.29358, 0.00216692, 0.168439
84, 1.28846, 0.00216977, 0.170608
85, 1.28298, 0.00217183, 0.17278
86, 1.27873, 0.00217605, 0.174956
87, 1.27283, 0.00217717, 0.177133
88, 1.26813, 0.00218041, 0.179314
89, 1.26314, 0.002183, 0.181497
90, 1.25797, 0.00218514, 0.183682
91, 1.25397, 0.00218938, 0.185871
92, 1.24823, 0.00219028, 0.188062
93, 1.24379, 0.00219358, 0.190255
94, 1.23892, 0.0021959, 0.192451
95, 1.23403, 0.00219813, 0.194649
96, 1.23012, 0.00220207, 0.196851
97, 1.22478, 0.00220309, 0.199054
98, 1.22088, 0.00220644, 0.201261
99, 1.21711, 0.00220852, 0.203469
