No, norma, norm_delta_time, elapsed_norm_time
0, 44.9576, 0.001, 0
1, 1.89243, 0.001, 0.001
2, 1.79438, 0.001, 0.002
3, 1.7297, 0.001, 0.003
4, 1.67219, 0.001, 0.004
5, 1.61849, 0.001, 0.005
6, 1.57479, 0.001, 0.006
7, 1.53738, 0.001, 0.007
8, 1.50171, 0.001, 0.008
9, 1.46962, 0.001, 0.009
10, 1.44145, 0.001, 0.01
11, 1.4146, 0.001, 0.011
12, 1.38953, 0.001, 0.012
13, 1.36678, 0.001, 0.013
14, 1.34524, 0.001, 0.014
15, 1.32455, 0.001, 0.015
16, 1.30531, 0.001, 0.016
17, 1.28725, 0.001, 0.017
18, 1.26973, 0.001, 0.018
19, 1.253, 0.001, 0.019
20, 1.23729, 0.001, 0.02
21, 1.22215, 0.001, 0.021
22, 1.2074, 0.001, 0.022
23, 1.19337, 0.001, 0.023
24, 1.17997, 0.001, 0.024
25, 1.16688, 0.001, 0.025
26, 1.15418, 0.001, 0.026
27, 1.14205, 0.001, 0.027
28, 1.13031, 0.001, 0.028
29, 1.11879, 0.001, 0.029
30, 1.10763, 0.001, 0.03
31, 1.09691, 0.001, 0.031
32, 1.08644, 0.001, 0.032
33, 1.07616, 0.001, 0.033
34, 1.06621, 0.001, 0.034
35, 1.05659, 0.001, 0.035
36, 1.04713, 0.001, 0.036
37, 1.03786, 0.001, 0.037
38, 1.02888, 0.001, 0.038
39, 1.02014, 0.001, 0.039
40, 1.01153, 0.001, 0.04
41, 1.0031, 0.001, 0.041
42, 0.994911, 0.001, 0.042
43, 0.986908, 0.001, 0.043
44, 0.979011, 0.001, 0.044
45, 0.971277, 0.001, 0.045
46, 0.963755, 0.001, 0.046
47, 0.956378, 0.001, 0.047
48, 0.949092, 0.001, 0.048
49, 0.941956, 0.001, 0.049
50, 0.935001, 0.001, 0.05
51, 0.928164, 0.001, 0.051
52, 0.921408, 0.001, 0.052
53, 0.914787, 0.001, 0.053
54, 0.908323, 0.001, 0.054
55, 0.901958, 0.001, 0.055
56, 0.895666, 0.001, 0.056
57, 0.889495, 0.001, 0.057
58, 0.88346, 0.001, 0.058
59, 0.877512, 0.001, 0.059
60, 0.87163, 0.001, 0.06
61, 0.865854, 0.001, 0.061
62, 0.860199, 0.001, 0.062
63, 0.854623, 0.001, 0.063
64, 0.849105, 0.001, 0.064
65, 0.843681, 0.001, 0.065
66, 0.838365, 0.001, 0.066
67, 0.833121, 0.001, 0.067
68, 0.82793, 0.001, 0.068
69, 0.822821, 0.001, 0.069
70, 0.817809, 0.001, 0.07
71, 0.812864, 0.001, 0.071
72, 0.807968, 0.001, 0.072
73, 0.803142, 0.001, 0.073
74, 0.798404, 0.001, 0.074
75, 0.793731, 0.001, 0.075
76, 0.789102, 0.001, 0.076
77, 0.784534, 0.001, 0.077
78, 0.780045, 0.001, 0.078
79, 0.775618, 0.001, 0.079
80, 0.771233, 0.001, 0.08
81, 0.766899, 0.001, 0.081
82, 0.762636, 0.001, 0.082
83, 0.758434, 0.001, 0.083
84, 0.754272, 0.001, 0.084
85, 0.750154, 0.001, 0.085
86, 0.746098, 0.001, 0.086
87, 0.742102, 0.001, 0.087
88, 0.738145, 0.001, 0.088
89, 0.734225, 0.001, 0.089
90, 0.73036, 0.001, 0.09
91, 0.726552, 0.001, 0.091
92, 0.722783, 0.001, 0.092
93, 0.719048, 0.001, 0.093
94, 0.715358, 0.001, 0.094
95, 0.711723, 0.001, 0.095
96, 0.708128, 0.001, 0.096
97, 0.704564, 0.001, 0.097
98, 0.701038, 0.001, 0.098
99, 0.697561, 0.001, 0.099
100, 0.694127, 0.001, 0.1
101, 0.690721, 0.001, 0.101
102, 0.687349, 0.001, 0.102
103, 0.684019, 0.001, 0.103
104, 0.680732, 0.001, 0.104
105, 0.677475, 0.001, 0.105
106, 0.674246, 0.001, 0.106
107, 0.671054, 0.001, 0.107
108, 0.667903, 0.001, 0.108
109, 0.664783, 0.001, 0.109
110, 0.661689, 0.001, 0.11
111, 0.658626, 0.001, 0.111
112, 0.655601, 0.001, 0.112
113, 0.652609, 0.001, 0.113
114, 0.649641, 0.001, 0.114
115, 0.646699, 0.001, 0.115
116, 0.643792, 0.001, 0.116
117, 0.640918, 0.001, 0.117
118, 0.638069, 0.001, 0.118
119, 0.635243, 0.001, 0.119
120, 0.632446, 0.001, 0.12
121, 0.629681, 0.001, 0.121
122, 0.626943, 0.001, 0.122
123, 0.624226, 0.001, 0.123
124, 0.621533, 0.001, 0.124
125, 0.61887, 0.001, 0.125
126, 0.616235, 0.001, 0.126
127, 0.613621, 0.001, 0.127
128, 0.611028, 0.001, 0.128
129, 0.608461, 0.001, 0.129
130, 0.605921, 0.001, 0.13
131, 0.603405, 0.001, 0.131
132, 0.600906, 0.001, 0.132
133, 0.59843, 0.001, 0.133
134, 0.595979, 0.001, 0.134
135, 0.593553, 0.001, 0.135
136, 0.591145, 0.001, 0.136
137, 0.588755, 0.001, 0.137
138, 0.586389, 0.001, 0.138
139, 0.584046, 0.001, 0.139
140, 0.581723, 0.001, 0.14
141, 0.579417, 0.001, 0.141
142, 0.57713, 0.001, 0.142
143, 0.574866, 0.001, 0.143
144, 0.572623, 0.001, 0.144
145, 0.570396, 0.001, 0.145
146, 0.568186, 0.001, 0.146
147, 0.565995, 0.001, 0.147
148, 0.563826, 0.001, 0.148
149, 0.561675, 0.001, 0.149
150, 0.559538, 0.001, 0.15
151, 0.557419, 0.001, 0.151
152, 0.555319, 0.001, 0.152
153, 0.553238, 0.001, 0.153
154, 0.551173, 0.001, 0.154
155, 0.549122, 0.001, 0.155
156, 0.547089, 0.001, 0.156
157, 0.545076, 0.001, 0.157
158, 0.543081, 0.001, 0.158
159, 0.541103, 0.001, 0.159
160, 0.539146, 0.001, 0.16
