No, norma, norm_delta_time, elapsed_norm_time
0, 44.9576, 0.00185797, 0
1, 3.14384, 0.00185797, 0.00185797
2, 2.81364, 0.00186995, 0.00372792
3, 2.60525, 0.00188507, 0.00561299
4, 2.44635, 0.00189511, 0.00750809
5, 2.31905, 0.00190206, 0.00941015
6, 2.21853, 0.00191197, 0.0113221
7, 2.13669, 0.00192395, 0.0132461
8, 2.0637, 0.00193279, 0.0151789
9, 1.99892, 0.00194029, 0.0171192
10, 1.94413, 0.00195025, 0.0190694
11, 1.89139, 0.00195609, 0.0210255
12, 1.84601, 0.00196438, 0.0229899
13, 1.8064, 0.0019746, 0.0249645
14, 1.76862, 0.00198309, 0.0269476
15, 1.73407, 0.00199195, 0.0289395
16, 1.70312, 0.00200214, 0.0309417
17, 1.67254, 0.00201016, 0.0329518
18, 1.64502, 0.00201958, 0.0349714
19, 1.61776, 0.00202717, 0.0369986
20, 1.59245, 0.00203526, 0.0390338
21, 1.56798, 0.00204261, 0.0410764
22, 1.54444, 0.00204947, 0.0431259
23, 1.52232, 0.00205666, 0.0451826
24, 1.50034, 0.00206253, 0.0472451
25, 1.4802, 0.00206959, 0.0493147
26, 1.45962, 0.00207469, 0.0513894
27, 1.44087, 0.00208118, 0.0534706
28, 1.42187, 0.00208612, 0.0555567
29, 1.40437, 0.00209217, 0.0576489
30, 1.38673, 0.00209696, 0.0597458
31, 1.37036, 0.00210269, 0.0618485
32, 1.35388, 0.00210731, 0.0639558
33, 1.33854, 0.0021128, 0.0660686
34, 1.32309, 0.00211724, 0.0681859
35, 1.30869, 0.00212256, 0.0703084
36, 1.29411, 0.00212681, 0.0724352
37, 1.28059, 0.00213203, 0.0745673
38, 1.26679, 0.00213607, 0.0767033
39, 1.25406, 0.00214124, 0.0788446
40, 1.24095, 0.00214506, 0.0809896
41, 1.22897, 0.00215022, 0.0831398
42, 1.21646, 0.00215381, 0.0852937
43, 1.20517, 0.002159, 0.0874527
44, 1.1932, 0.00216236, 0.089615
45, 1.18256, 0.0021676, 0.0917826
46, 1.17107, 0.00217073, 0.0939534
47, 1.16092, 0.00217585, 0.0961292
48, 1.14997, 0.00217893, 0.0983081
49, 1.14023, 0.00218382, 0.100492
50, 1.12983, 0.00218698, 0.102679
51, 1.12045, 0.00219164, 0.104871
52, 1.11058, 0.0021949, 0.107065
53, 1.10152, 0.00219933, 0.109265
54, 1.09215, 0.00220271, 0.111468
55, 1.08338, 0.00220689, 0.113674
56, 1.07448, 0.00221041, 0.115885
57, 1.06597, 0.00221434, 0.118099
58, 1.05752, 0.00221801, 0.120317
59, 1.04925, 0.00222169, 0.122539
60, 1.04123, 0.00222553, 0.124764
61, 1.03318, 0.00222895, 0.126993
62, 1.02555, 0.00223297, 0.129226
63, 1.0177, 0.00223613, 0.131462
64, 1.01047, 0.00224034, 0.133703
65, 1.00279, 0.00224323, 0.135946
66, 0.995926, 0.00224764, 0.138194
67, 0.988415, 0.00225027, 0.140444
68, 0.981809, 0.00225467, 0.142699
69, 0.974547, 0.00225724, 0.144956
70, 0.968093, 0.00226139, 0.147217
71, 0.961187, 0.00226416, 0.149481
72, 0.954918, 0.00226806, 0.151749
73, 0.948456, 0.00227102, 0.15402
74, 0.942577, 0.00227467, 0.156295
75, 0.936996, 0.00227784, 0.158573
76, 0.932391, 0.00228123, 0.160854
77, 0.929357, 0.00228461, 0.163139
78, 0.928952, 0.00228774, 0.165427
79, 0.933136, 0.00229134, 0.167718
80, 0.943454, 0.00229421, 0.170012
81, 0.962326, 0.00229804, 0.17231
82, 0.989231, 0.00230065, 0.174611
83, 1.02332, 0.00230477, 0.176916
84, 1.05884, 0.00230713, 0.179223
85, 1.0916, 0.00231112, 0.181534
86, 1.11521, 0.00231408, 0.183848
87, 1.12706, 0.00231808, 0.186166
88, 1.12599, 0.00232352, 0.18849
89, 1.11219, 0.00232955, 0.190819
90, 1.08783, 0.00233693, 0.193156
91, 1.0557, 0.00234639, 0.195502
92, 1.01804, 0.00235694, 0.197859
93, 0.977166, 0.00236811, 0.200227
94, 0.935563, 0.00238061, 0.202608
95, 0.895085, 0.00239468, 0.205003
96, 0.857185, 0.00241066, 0.207413
97, 0.821959, 0.00242594, 0.209839
98, 0.790325, 0.00244111, 0.21228
99, 0.76321, 0.002458, 0.214738
100, 0.740777, 0.00247701, 0.217215
101, 0.721383, 0.00249291, 0.219708
102, 0.706226, 0.00251047, 0.222219
103, 0.695045, 0.00253016, 0.224749
104, 0.686458, 0.00254844, 0.227297
105, 0.680456, 0.0025667, 0.229864
106, 0.677212, 0.00258716, 0.232451
107, 0.675629, 0.00260706, 0.235058
108, 0.675306, 0.00262617, 0.237685
109, 0.67677, 0.00264763, 0.240332
110, 0.679017, 0.00266856, 0.243001
111, 0.681753, 0.00268875, 0.245689
112, 0.685699, 0.00271153, 0.248401
113, 0.689634, 0.00273295, 0.251134
114, 0.693921, 0.00275454, 0.253888
115, 0.699041, 0.00277907, 0.256668
116, 0.703513, 0.00280043, 0.259468
117, 0.708438, 0.00282385, 0.262292
118, 0.713776, 0.00284873, 0.265141
119, 0.718403, 0.0028714, 0.268012
120, 0.723805, 0.00289727, 0.270909
121, 0.728551, 0.00292135, 0.273831
