No, norma, norm_delta_time, elapsed_norm_time
0, 44.9576, 0.00185797, 0
1, 3.14394, 0.00185797, 0.00185797
2, 2.80662, 0.00187037, 0.00372834
3, 2.59507, 0.00188549, 0.00561383
4, 2.43551, 0.0018967, 0.00751053
5, 2.30743, 0.00190409, 0.00941462
6, 2.20619, 0.0019143, 0.0113289
7, 2.12367, 0.00192641, 0.0132553
8, 2.05056, 0.00193578, 0.0151911
9, 1.98543, 0.0019435, 0.0171346
10, 1.92958, 0.00195288, 0.0190875
11, 1.87662, 0.00195887, 0.0210464
12, 1.83112, 0.00196739, 0.0230138
13, 1.79137, 0.0019778, 0.0249916
14, 1.75227, 0.00198506, 0.0269766
15, 1.71775, 0.00199416, 0.0289708
16, 1.68575, 0.00200327, 0.030974
17, 1.65524, 0.0020115, 0.0329855
18, 1.62712, 0.00202027, 0.0350058
19, 1.5999, 0.00202799, 0.0370338
20, 1.57431, 0.00203576, 0.0390696
21, 1.54986, 0.00204317, 0.0411127
22, 1.52623, 0.00204993, 0.0431627
23, 1.5041, 0.00205712, 0.0452198
24, 1.48214, 0.00206302, 0.0472828
25, 1.46197, 0.00207003, 0.0493528
26, 1.44148, 0.00207525, 0.0514281
27, 1.42291, 0.002082, 0.0535101
28, 1.40381, 0.00208677, 0.0555969
29, 1.3865, 0.00209312, 0.05769
30, 1.36875, 0.00209772, 0.0597877
31, 1.35259, 0.00210376, 0.0618915
32, 1.336, 0.00210817, 0.0639996
33, 1.32088, 0.002114, 0.0661136
34, 1.30531, 0.00211821, 0.0682318
35, 1.29113, 0.00212388, 0.0703557
36, 1.27644, 0.00212789, 0.0724836
37, 1.26314, 0.00213347, 0.0746171
38, 1.24923, 0.00213727, 0.0767544
39, 1.23673, 0.0021428, 0.0788972
40, 1.2235, 0.00214637, 0.0810435
41, 1.21174, 0.0021519, 0.0831954
42, 1.19912, 0.00215524, 0.0853507
43, 1.18794, 0.00216059, 0.0875113
44, 1.17598, 0.0021639, 0.0896752
45, 1.16529, 0.00216903, 0.0918442
46, 1.15396, 0.00217238, 0.0940166
47, 1.14372, 0.00217727, 0.0961938
48, 1.13298, 0.00218069, 0.0983745
49, 1.12314, 0.00218535, 0.10056
50, 1.11296, 0.00218885, 0.102749
51, 1.10348, 0.00219327, 0.104942
52, 1.09382, 0.00219688, 0.107139
53, 1.08466, 0.00220106, 0.10934
54, 1.0755, 0.00220479, 0.111545
55, 1.06664, 0.00220872, 0.113753
56, 1.05794, 0.00221259, 0.115966
57, 1.04935, 0.00221627, 0.118182
58, 1.0411, 0.00222029, 0.120403
59, 1.03274, 0.00222372, 0.122626
60, 1.02491, 0.00222791, 0.124854
61, 1.01678, 0.00223107, 0.127085
62, 1.00935, 0.00223545, 0.129321
63, 1.00141, 0.00223835, 0.131559
64, 0.994365, 0.00224292, 0.133802
65, 0.986611, 0.00224555, 0.136048
66, 0.979772, 0.00224995, 0.138298
67, 0.972344, 0.00225267, 0.14055
68, 0.965666, 0.00225683, 0.142807
69, 0.95859, 0.00225974, 0.145067
70, 0.952071, 0.00226364, 0.14733
71, 0.945363, 0.00226674, 0.149597
72, 0.939059, 0.0022704, 0.151868
73, 0.932845, 0.0022737, 0.154141
74, 0.927032, 0.00227709, 0.156418
75, 0.921875, 0.0022806, 0.158699
76, 0.917633, 0.00228374, 0.160983
77, 0.91547, 0.00228746, 0.16327
78, 0.916028, 0.00229033, 0.16556
79, 0.921728, 0.00229428, 0.167855
80, 0.933432, 0.00229689, 0.170152
81, 0.953602, 0.00230108, 0.172453
82, 0.980682, 0.00230342, 0.174756
83, 1.01372, 0.00230738, 0.177064
84, 1.04723, 0.00231004, 0.179374
85, 1.0771, 0.0023138, 0.181687
86, 1.09822, 0.00231733, 0.184005
87, 1.10787, 0.0023212, 0.186326
88, 1.10553, 0.00232658, 0.188652
89, 1.09167, 0.0023333, 0.190986
90, 1.06792, 0.00234123, 0.193327
91, 1.03651, 0.00235034, 0.195677
92, 0.999865, 0.00236066, 0.198038
93, 0.960318, 0.00237229, 0.20041
94, 0.919946, 0.0023854, 0.202796
95, 0.880494, 0.00240024, 0.205196
96, 0.842932, 0.00241587, 0.207612
97, 0.807644, 0.00243035, 0.210042
98, 0.776208, 0.00244635, 0.212488
99, 0.749069, 0.00246421, 0.214953
100, 0.725571, 0.0024813, 0.217434
101, 0.705852, 0.00249807, 0.219932
102, 0.690322, 0.00251666, 0.222449
103, 0.678405, 0.00253619, 0.224985
104, 0.668965, 0.00255369, 0.227539
105, 0.662663, 0.00257306, 0.230112
106, 0.65906, 0.00259424, 0.232706
107, 0.656601, 0.00261256, 0.235318
108, 0.656192, 0.00263288, 0.237951
109, 0.657514, 0.00265515, 0.240607
110, 0.659092, 0.00267448, 0.243281
111, 0.661971, 0.00269601, 0.245977
112, 0.665772, 0.00271892, 0.248696
113, 0.66941, 0.00273951, 0.251435
114, 0.673976, 0.0027626, 0.254198
115, 0.678697, 0.00278568, 0.256984
116, 0.683353, 0.00280791, 0.259792
117, 0.688707, 0.00283304, 0.262625
118, 0.693516, 0.00285581, 0.26548
119, 0.698601, 0.00288017, 0.268361
120, 0.703994, 0.00290599, 0.271267
121, 0.708746, 0.00292989, 0.274197
122, 0.71422, 0.00295713, 0.277154
123, 0.718893, 0.00298198, 0.280136
124, 0.723971, 0.00300892, 0.283145
125, 0.728895, 0.00303632, 0.286181
126, 0.733615, 0.00306325, 0.289244
127, 0.73868, 0.00309292, 0.292337
128, 0.743092, 0.00312011, 0.295457
129, 0.745876, 0.0031418, 0.298599
130, 0.73968, 0.00312513, 0.301724
131, 0.733473, 0.0031092, 0.304833
132, 0.728139, 0.00309662, 0.30793
133, 0.721531, 0.0030791, 0.311009
134, 0.715927, 0.0030658, 0.314075
135, 0.709964, 0.00305108, 0.317126
136, 0.703989, 0.00303648, 0.320162
137, 0.698721, 0.00302475, 0.323187
138, 0.692423, 0.00300892, 0.326196
139, 0.687104, 0.00299693, 0.329193
140, 0.68119, 0.00298283, 0.332176
141, 0.675635, 0.00296985, 0.335146
142, 0.670241, 0.00295797, 0.338104
143, 0.664444, 0.00294403, 0.341048
144, 0.659411, 0.00293357, 0.343981
145, 0.653531, 0.00291927, 0.3469
146, 0.648385, 0.00290804, 0.349809
147, 0.642898, 0.00289541, 0.352704
148, 0.637647, 0.00288346, 0.355587
149, 0.632536, 0.00287234, 0.35846
150, 0.627165, 0.00285972, 0.361319
151, 0.622425, 0.00284999, 0.364169
152, 0.61695, 0.00283673, 0.367006
153, 0.612241, 0.00282679, 0.369833
154, 0.607016, 0.00281443, 0.372647
155, 0.602265, 0.00280397, 0.375451
156, 0.597362, 0.00279276, 0.378244
157, 0.592564, 0.00278182, 0.381026
158, 0.587984, 0.00277172, 0.383798
159, 0.583159, 0.00276031, 0.386558
160, 0.578889, 0.00275131, 0.389309
161, 0.574057, 0.00273945, 0.392049
162, 0.569912, 0.00273068, 0.394779
163, 0.565263, 0.00271926, 0.397499
164, 0.561126, 0.00271011, 0.400209
165, 0.556784, 0.00269973, 0.402909
166, 0.552664, 0.00269022, 0.405599
167, 0.54863, 0.0026809, 0.40828
168, 0.544528, 0.00267102, 0.410951
169, 0.540808, 0.00266279, 0.413613
170, 0.536726, 0.00265254, 0.416266
171, 0.533257, 0.00264511, 0.418911
172, 0.52926, 0.00263481, 0.421546
173, 0.525817, 0.00262706, 0.424173
174, 0.522133, 0.00261786, 0.426791
175, 0.518713, 0.00260978, 0.429401
176, 0.515343, 0.00260173, 0.432002
177, 0.511941, 0.0025933, 0.434596
178, 0.508885, 0.00258644, 0.437182
179, 0.505494, 0.00257766, 0.43976
180, 0.50264, 0.00257145, 0.442331
181, 0.499368, 0.00256291, 0.444894
182, 0.496519, 0.00255637, 0.44745
183, 0.493555, 0.00254908, 0.45
184, 0.490701, 0.0025422, 0.452542
185, 0.488046, 0.00253623, 0.455078
186, 0.485176, 0.00252899, 0.457607
187, 0.482765, 0.00252405, 0.460131
188, 0.479933, 0.0025168, 0.462648
189, 0.477496, 0.00251152, 0.465159
190, 0.474969, 0.00250567, 0.467665
191, 0.472496, 0.00250003, 0.470165
192, 0.470276, 0.00249567, 0.472661
193, 0.467758, 0.00248964, 0.47515
194, 0.465636, 0.00248568, 0.477636
195, 0.463282, 0.00248042, 0.480116
196, 0.46111, 0.00247608, 0.482593
197, 0.459069, 0.00247241, 0.485065
198, 0.456839, 0.00246767, 0.487533
199, 0.454956, 0.00246478, 0.489997
200, 0.452827, 0.0024605, 0.492458
201, 0.450886, 0.00245721, 0.494915
202, 0.449077, 0.0024546, 0.49737
203, 0.447072, 0.00245089, 0.499821
204, 0.445375, 0.00244882, 0.502269
205, 0.443517, 0.00244584, 0.504715
206, 0.441759, 0.00244336, 0.507159
207, 0.440219, 0.00244206, 0.509601
208, 0.438397, 0.00243915, 0.51204
209, 0.43685, 0.00243774, 0.514478
210, 0.435283, 0.00243618, 0.516914
211, 0.433674, 0.00243435, 0.519348
212, 0.432307, 0.00243384, 0.521782
213, 0.430733, 0.00243214, 0.524214
214, 0.429306, 0.00243124, 0.526645
215, 0.42801, 0.00243107, 0.529076
216, 0.426519, 0.00242976, 0.531506
217, 0.425243, 0.00242966, 0.533936
218, 0.423928, 0.00242933, 0.536365
219, 0.422587, 0.00242885, 0.538794
220, 0.421435, 0.00242945, 0.541223
221, 0.420101, 0.00242901, 0.543652
222, 0.418885, 0.00242925, 0.546082
223, 0.417763, 0.00243006, 0.548512
224, 0.416479, 0.00242995, 0.550942
225, 0.415361, 0.00243083, 0.553373
226, 0.414196, 0.00243146, 0.555804
227, 0.413013, 0.00243201, 0.558236
228, 0.411976, 0.00243346, 0.560669
229, 0.410768, 0.00243392, 0.563103
230, 0.409669, 0.00243507, 0.565538
231, 0.408611, 0.00243649, 0.567975
