No, norma, norm_delta_time, elapsed_norm_time
0, 44.9576, 0.00185797, 0
1, 6.90993e-310, 0.00185797, 0.00185797
2, 6.90993e-310, 0.00185797, 0.00371594
3, 6.90993e-310, 0.00185797, 0.00557391
4, 6.90993e-310, 0.00185797, 0.00743188
5, 6.90993e-310, 0.00185797, 0.00928984
6, 6.90993e-310, 0.00185797, 0.0111478
7, 6.90993e-310, 0.00185797, 0.0130058
8, 6.90993e-310, 0.00185797, 0.0148638
9, 6.90993e-310, 0.00185797, 0.0167217
10, 6.90993e-310, 0.00185797, 0.0185797
11, 6.90993e-310, 0.00185797, 0.0204377
12, 6.90993e-310, 0.00185797, 0.0222956
13, 6.90993e-310, 0.00185797, 0.0241536
14, 6.90993e-310, 0.00185797, 0.0260116
15, 6.90993e-310, 0.00185797, 0.0278695
16, 6.90993e-310, 0.00185797, 0.0297275
17, 6.90993e-310, 0.00185797, 0.0315855
18, 6.90993e-310, 0.00185797, 0.0334434
19, 6.90993e-310, 0.00185797, 0.0353014
20, 6.90993e-310, 0.00185797, 0.0371594
21, 6.90993e-310, 0.00185797, 0.0390173
22, 6.90993e-310, 0.00185797, 0.0408753
23, 6.90993e-310, 0.00185797, 0.0427333
24, 6.90993e-310, 0.00185797, 0.0445913
25, 6.90993e-310, 0.00185797, 0.0464492
26, 6.90993e-310, 0.00185797, 0.0483072
27, 6.90993e-310, 0.00185797, 0.0501652
28, 6.90993e-310, 0.00185797, 0.0520231
29, 6.90993e-310, 0.00185797, 0.0538811
30, 6.90993e-310, 0.00185797, 0.0557391
31, 6.90993e-310, 0.00185797, 0.057597
32, 6.90993e-310, 0.00185797, 0.059455
33, 6.90993e-310, 0.00185797, 0.061313
34, 6.90993e-310, 0.00185797, 0.0631709
35, 6.90993e-310, 0.00185797, 0.0650289
36, 6.90993e-310, 0.00185797, 0.0668869
37, 6.90993e-310, 0.00185797, 0.0687449
38, 6.90993e-310, 0.00185797, 0.0706028
39, 6.90993e-310, 0.00185797, 0.0724608
40, 6.90993e-310, 0.00185797, 0.0743188
41, 6.90993e-310, 0.00185797, 0.0761767
42, 6.90993e-310, 0.00185797, 0.0780347
43, 6.90993e-310, 0.00185797, 0.0798927
44, 6.90993e-310, 0.00185797, 0.0817506
45, 6.90993e-310, 0.00185797, 0.0836086
46, 6.90993e-310, 0.00185797, 0.0854666
47, 6.90993e-310, 0.00185797, 0.0873245
48, 6.90993e-310, 0.00185797, 0.0891825
49, 6.90993e-310, 0.00185797, 0.0910405
50, 6.90993e-310, 0.00185797, 0.0928984
51, 6.90993e-310, 0.00185797, 0.0947564
52, 6.90993e-310, 0.00185797, 0.0966144
53, 6.90993e-310, 0.00185797, 0.0984724
54, 6.90993e-310, 0.00185797, 0.10033
55, 6.90993e-310, 0.00185797, 0.102188
56, 6.90993e-310, 0.00185797, 0.104046
57, 6.90993e-310, 0.00185797, 0.105904
58, 6.90993e-310, 0.00185797, 0.107762
59, 6.90993e-310, 0.00185797, 0.10962
60, 6.90993e-310, 0.00185797, 0.111478
61, 6.90993e-310, 0.00185797, 0.113336
62, 6.90993e-310, 0.00185797, 0.115194
63, 6.90993e-310, 0.00185797, 0.117052
64, 6.90993e-310, 0.00185797, 0.11891
65, 6.90993e-310, 0.00185797, 0.120768
66, 6.90993e-310, 0.00185797, 0.122626
67, 6.90993e-310, 0.00185797, 0.124484
68, 6.90993e-310, 0.00185797, 0.126342
69, 6.90993e-310, 0.00185797, 0.1282
70, 6.90993e-310, 0.00185797, 0.130058
71, 6.90993e-310, 0.00185797, 0.131916
72, 6.90993e-310, 0.00185797, 0.133774
73, 6.90993e-310, 0.00185797, 0.135632
74, 6.90993e-310, 0.00185797, 0.13749
75, 6.90993e-310, 0.00185797, 0.139348
76, 6.90993e-310, 0.00185797, 0.141206
77, 6.90993e-310, 0.00185797, 0.143064
78, 6.90993e-310, 0.00185797, 0.144922
79, 6.90993e-310, 0.00185797, 0.14678
80, 6.90993e-310, 0.00185797, 0.148638
81, 6.90993e-310, 0.00185797, 0.150495
82, 6.90993e-310, 0.00185797, 0.152353
83, 6.90993e-310, 0.00185797, 0.154211
84, 6.90993e-310, 0.00185797, 0.156069
85, 6.90993e-310, 0.00185797, 0.157927
86, 6.90993e-310, 0.00185797, 0.159785
87, 6.90993e-310, 0.00185797, 0.161643
88, 6.90993e-310, 0.00185797, 0.163501
89, 6.90993e-310, 0.00185797, 0.165359
90, 6.90993e-310, 0.00185797, 0.167217
91, 6.90993e-310, 0.00185797, 0.169075
92, 6.90993e-310, 0.00185797, 0.170933
93, 6.90993e-310, 0.00185797, 0.172791
94, 6.90993e-310, 0.00185797, 0.174649
95, 6.90993e-310, 0.00185797, 0.176507
96, 6.90993e-310, 0.00185797, 0.178365
97, 6.90993e-310, 0.00185797, 0.180223
98, 6.90993e-310, 0.00185797, 0.182081
99, 6.90993e-310, 0.00185797, 0.183939
100, 6.90993e-310, 0.00185797, 0.185797
101, 6.90993e-310, 0.00185797, 0.187655
102, 6.90993e-310, 0.00185797, 0.189513
103, 6.90993e-310, 0.00185797, 0.191371
104, 6.90993e-310, 0.00185797, 0.193229
105, 6.90993e-310, 0.00185797, 0.195087
106, 6.90993e-310, 0.00185797, 0.196945
107, 6.90993e-310, 0.00185797, 0.198803
108, 6.90993e-310, 0.00185797, 0.200661
109, 6.90993e-310, 0.00185797, 0.202519
110, 6.90993e-310, 0.00185797, 0.204377
111, 6.90993e-310, 0.00185797, 0.206235
112, 6.90993e-310, 0.00185797, 0.208093
113, 6.90993e-310, 0.00185797, 0.20995
114, 6.90993e-310, 0.00185797, 0.211808
115, 6.90993e-310, 0.00185797, 0.213666
116, 6.90993e-310, 0.00185797, 0.215524
117, 6.90993e-310, 0.00185797, 0.217382
118, 6.90993e-310, 0.00185797, 0.21924
119, 6.90993e-310, 0.00185797, 0.221098
120, 6.90993e-310, 0.00185797, 0.222956
121, 6.90993e-310, 0.00185797, 0.224814
122, 6.90993e-310, 0.00185797, 0.226672
123, 6.90993e-310, 0.00185797, 0.22853
124, 6.90993e-310, 0.00185797, 0.230388
125, 6.90993e-310, 0.00185797, 0.232246
126, 6.90993e-310, 0.00185797, 0.234104
127, 6.90993e-310, 0.00185797, 0.235962
128, 6.90993e-310, 0.00185797, 0.23782
129, 6.90993e-310, 0.00185797, 0.239678
130, 6.90993e-310, 0.00185797, 0.241536
131, 6.90993e-310, 0.00185797, 0.243394
132, 6.90993e-310, 0.00185797, 0.245252
133, 6.90993e-310, 0.00185797, 0.24711
134, 6.90993e-310, 0.00185797, 0.248968
135, 6.90993e-310, 0.00185797, 0.250826
136, 6.90993e-310, 0.00185797, 0.252684
137, 6.90993e-310, 0.00185797, 0.254542
138, 6.90993e-310, 0.00185797, 0.2564
139, 6.90993e-310, 0.00185797, 0.258258
140, 6.90993e-310, 0.00185797, 0.260116
141, 6.90993e-310, 0.00185797, 0.261974
142, 6.90993e-310, 0.00185797, 0.263832
143, 6.90993e-310, 0.00185797, 0.26569
144, 6.90993e-310, 0.00185797, 0.267548
145, 6.90993e-310, 0.00185797, 0.269406
146, 6.90993e-310, 0.00185797, 0.271263
147, 6.90993e-310, 0.00185797, 0.273121
148, 6.90993e-310, 0.00185797, 0.274979
149, 6.90993e-310, 0.00185797, 0.276837
150, 6.90993e-310, 0.00185797, 0.278695
151, 6.90993e-310, 0.00185797, 0.280553
152, 6.90993e-310, 0.00185797, 0.282411
153, 6.90993e-310, 0.00185797, 0.284269
154, 6.90993e-310, 0.00185797, 0.286127
155, 6.90993e-310, 0.00185797, 0.287985
156, 6.90993e-310, 0.00185797, 0.289843
157, 6.90993e-310, 0.00185797, 0.291701
158, 6.90993e-310, 0.00185797, 0.293559
159, 6.90993e-310, 0.00185797, 0.295417
160, 6.90993e-310, 0.00185797, 0.297275
161, 6.90993e-310, 0.00185797, 0.299133
162, 6.90993e-310, 0.00185797, 0.300991
163, 6.90993e-310, 0.00185797, 0.302849
164, 6.90993e-310, 0.00185797, 0.304707
165, 6.90993e-310, 0.00185797, 0.306565
166, 6.90993e-310, 0.00185797, 0.308423
167, 6.90993e-310, 0.00185797, 0.310281
168, 6.90993e-310, 0.00185797, 0.312139
169, 6.90993e-310, 0.00185797, 0.313997
170, 6.90993e-310, 0.00185797, 0.315855
171, 6.90993e-310, 0.00185797, 0.317713
172, 6.90993e-310, 0.00185797, 0.319571
173, 6.90993e-310, 0.00185797, 0.321429
174, 6.90993e-310, 0.00185797, 0.323287
175, 6.90993e-310, 0.00185797, 0.325145
176, 6.90993e-310, 0.00185797, 0.327003
177, 6.90993e-310, 0.00185797, 0.328861
178, 6.90993e-310, 0.00185797, 0.330718
179, 6.90993e-310, 0.00185797, 0.332576
180, 6.90993e-310, 0.00185797, 0.334434
181, 6.90993e-310, 0.00185797, 0.336292
182, 6.90993e-310, 0.00185797, 0.33815
183, 6.90993e-310, 0.00185797, 0.340008
184, 6.90993e-310, 0.00185797, 0.341866
185, 6.90993e-310, 0.00185797, 0.343724
186, 6.90993e-310, 0.00185797, 0.345582
187, 6.90993e-310, 0.00185797, 0.34744
188, 6.90993e-310, 0.00185797, 0.349298
189, 6.90993e-310, 0.00185797, 0.351156
190, 6.90993e-310, 0.00185797, 0.353014
191, 6.90993e-310, 0.00185797, 0.354872
192, 6.90993e-310, 0.00185797, 0.35673
193, 6.90993e-310, 0.00185797, 0.358588
194, 6.90993e-310, 0.00185797, 0.360446
195, 6.90993e-310, 0.00185797, 0.362304
196, 6.90993e-310, 0.00185797, 0.364162
197, 6.90993e-310, 0.00185797, 0.36602
198, 6.90993e-310, 0.00185797, 0.367878
199, 6.90993e-310, 0.00185797, 0.369736
200, 6.90993e-310, 0.00185797, 0.371594
201, 6.90993e-310, 0.00185797, 0.373452
202, 6.90993e-310, 0.00185797, 0.37531
203, 6.90993e-310, 0.00185797, 0.377168
204, 6.90993e-310, 0.00185797, 0.379026
205, 6.90993e-310, 0.00185797, 0.380884
